"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alex Gordon  LF","4","0","0","0","0","3","4",".294",".369",".486",".855","19","13","-0.127","1.29","0.000","-0.127","-1.3","0","1",""
"Melky Cabrera  CF","3","0","1","0","1","1","4",".303",".336",".474",".810","19","10","0.003","0.61","0.038","-0.035","0.1","2","0",""
"Billy Butler  DH","3","0","0","0","0","1","4",".299",".373",".470",".843","9","6","0.019","1.22","0.088","-0.069","-0.3","","","HBP"
"Eric Hosmer  1B","4","1","2","1","0","1","4",".273",".323",".429",".751","10","7","0.041","1.47","0.143","-0.102","0.6","9","1","HR"
"Jeff Francoeur  RF","4","0","1","0","0","1","4",".281",".332",".465",".797","17","9","-0.165","1.38","0.065","-0.229","-0.9","1","0","2B,CS,GDP"
"Mike Moustakas  3B","4","0","2","0","0","2","4",".227",".284",".284",".568","14","9","0.071","1.44","0.139","-0.068","-0.0","1","1",""
"Johnny Giavotella  2B","3","0","1","0","0","0","3",".263",".291",".395",".686","8","4","0.031","0.76","0.048","-0.017","0.4","1","2",""
"Alcides Escobar  SS","0","0","0","0","0","0","1",".243",".280",".322",".602","1","1","-0.049","4.63","0.000","-0.049","-0.2","0","0","SH"
"Salvador Perez  C","4","0","1","0","0","0","4",".245",".281",".340",".620","12","9","-0.074","1.82","0.059","-0.133","0.0","8","0",""
"Chris Getz  SS-2B","4","0","0","0","0","1","4",".252",".310",".280",".589","15","12","-0.245","2.25","0.000","-0.245","-1.6","2","5",""
"","","","","","","","","","","","","","","","","","","","","",""
"Felipe Paulino  P","","","","","","","","","","","","","","","","","","","0","3",""
"Tim Collins  P","","","","","","","","","","","","","","","","","","","0","0",""
"Blake Wood  P","","","","","","","","","","","","","","","","","","","0","0",""
