"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alex Gordon  LF","4","0","1","1","0","0","5",".281",".349",".456",".805","20","9","0.087","1.49","0.178","-0.092","0.7","2","0","HBP"
"Melky Cabrera  CF","5","1","1","0","0","0","5",".275",".316",".434",".750","10","8","0.038","1.48","0.134","-0.095","0.2","2","0",""
"Billy Butler  1B","4","0","2","1","0","0","4",".302",".403",".443",".846","12","8","0.067","1.62","0.137","-0.069","0.8","7","1","2B"
"Jeff Francoeur  RF","4","0","1","0","0","0","4",".263",".306",".438",".744","10","8","-0.240","1.62","0.048","-0.288","-1.3","0","1","SB"
"Wilson Betemit  3B","4","1","1","0","0","2","4",".287",".344",".410",".754","17","11","-0.059","1.52","0.061","-0.120","-0.5","1","0",""
"Matt Treanor  C","3","0","0","0","0","2","4",".216",".360",".313",".673","14","9","-0.125","1.58","0.000","-0.125","-0.8","10","0","SH"
"Chris Getz  2B","4","1","2","0","0","0","4",".250",".317",".294",".611","18","15","0.037","1.49","0.157","-0.120","0.3","1","1","SB"
"Alcides Escobar  SS","3","1","2","2","1","0","4",".255",".289",".322",".610","24","12","0.472","2.09","0.490","-0.019","1.8","1","1","HR,CS"
"Danny Duffy  P","2","0","0","0","0","2","2",".000",".000",".000",".000","7","6","-0.086","1.31","0.000","-0.086","-0.8","0","0",""
"Louis Coleman  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Mitch Maier  PH","1","0","0","0","0","0","1",".316",".447",".447",".894","7","4","-0.059","2.22","0.000","-0.059","-0.3","","",""
"Blake Wood  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","1","1",""
"Aaron Crow  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Eric Hosmer  PH","1","0","0","0","0","0","1",".283",".333",".428",".761","3","3","-0.055","2.25","0.000","-0.055","-0.2","","",""
"Tim Collins  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
