"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alex Gordon  LF","4","0","0","0","0","1","4",".302",".372",".489",".861","10","8","-0.197","1.68","0.000","-0.197","-1.9","1","0","GDP"
"Melky Cabrera  CF","4","0","1","0","0","1","4",".304",".338",".461",".799","16","11","-0.092","1.23","0.045","-0.137","-1.1","3","0","CS,GDP"
"Billy Butler  DH","4","0","0","0","0","1","4",".288",".367",".450",".817","15","9","-0.089","0.94","0.000","-0.089","-0.9","","",""
"Eric Hosmer  1B","3","0","0","0","1","0","4",".280",".335",".438",".773","12","7","-0.022","0.65","0.024","-0.046","-0.3","10","1","SB"
"Jeff Francoeur  RF","3","0","1","0","1","2","4",".273",".325",".465",".790","19","12","-0.014","0.60","0.014","-0.028","-0.2","2","0",""
"Johnny Giavotella  2B","3","0","0","0","0","1","3",".278",".316",".556",".871","9","6","-0.072","0.96","0.000","-0.072","-0.7","2","1",""
"Brayan Pena  C","2","0","0","0","1","1","3",".257",".298",".361",".659","15","8","0.006","0.81","0.041","-0.036","0.0","4","0",""
"Mike Moustakas  3B","3","0","2","0","0","1","3",".193",".251",".246",".497","12","8","0.095","0.87","0.099","-0.004","0.8","0","1",""
"Alcides Escobar  SS","3","0","2","0","0","0","3",".248",".283",".327",".609","9","6","0.009","1.44","0.072","-0.062","0.2","1","5",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jeff Francis  P","","","","","","","","","","","","","","","","","","","1","2",""
"Nathan Adcock  P","","","","","","","","","","","","","","","","","","","0","1",""
