"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Maicer Izturis  2B","4","1","1","1","1","1","5",".301",".366",".439",".806","23","11","0.047","1.03","0.103","-0.056","0.4","3","3",""
"Erick Aybar  SS","5","1","2","3","0","1","5",".312",".355",".439",".795","22","17","0.045","0.69","0.094","-0.048","1.5","2","2","HR"
"Bobby Abreu  LF","5","1","2","0","0","2","5",".263",".386",".347",".733","18","17","0.026","0.77","0.079","-0.052","-0.1","1","0",""
"Reggie Willits  LF","0","0","0","0","0","0","0",".059",".200",".118",".318","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Torii Hunter  RF","5","1","3","0","0","0","5",".245",".329",".385",".714","19","11","0.192","1.13","0.236","-0.044","1.2","6","1","2B"
"Alberto Callaspo  3B","4","0","3","1","0","0","4",".308",".379",".407",".786","14","11","0.197","1.70","0.239","-0.042","1.3","1","0",""
"Russell Branyan  DH","3","0","0","1","0","1","4",".197",".270",".318",".588","15","11","-0.106","1.94","0.000","-0.106","-1.0","","","SF,GDP"
"Mark Trumbo  1B","4","0","0","0","0","1","4",".240",".291",".437",".728","13","11","-0.167","1.45","0.000","-0.167","-1.7","5","2",""
"Hank Conger  C","4","0","0","0","0","0","4",".237",".295",".371",".666","16","13","-0.145","1.36","0.000","-0.145","-1.1","5","0",""
"Peter Bourjos  CF","4","2","2","0","0","0","4",".244",".301",".383",".684","11","9","0.259","1.02","0.297","-0.038","1.0","2","1","3B"
"","","","","","","","","","","","","","","","","","","","","",""
"Tyler Chatwood  P","","","","","","","","","","","","","","","","","","","0","0",""
"Hisanori Takahashi  P","","","","","","","","","","","","","","","","","","","0","0",""
"Kevin Jepsen  P","","","","","","","","","","","","","","","","","","","1","0",""
"Fernando Rodney  P","","","","","","","","","","","","","","","","","","","0","0",""
"Scott Downs  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jordan Walden  P","","","","","","","","","","","","","","","","","","","0","0",""
