"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Denard Span  CF","4","2","1","0","0","0","4",".318",".356",".412",".767","15","9","0.116","1.73","0.172","-0.056","0.8","7","0",""
"Jason Repko  LF","2","0","0","0","1","0","4",".211",".318",".211",".529","15","10","-0.056","1.84","0.025","-0.082","-0.6","3","0","SH"
"Jason Kubel  RF","3","1","2","2","1","1","4",".347",".390",".520",".910","17","10","0.204","1.81","0.280","-0.076","0.6","1","0","2B"
"Justin Morneau  1B","3","0","2","2","1","0","4",".246",".292",".344",".637","19","8","0.230","1.24","0.260","-0.029","1.9","8","0","2B"
"Michael Cuddyer  2B","4","0","1","0","0","0","4",".240",".305",".360",".665","8","6","-0.162","1.53","0.000","-0.162","-1.5","1","5",""
"Jim Thome  DH","4","0","2","0","0","0","4",".226",".339",".396",".735","12","7","0.066","1.05","0.119","-0.053","0.5","","","2B"
"Danny Valencia  3B","4","0","0","0","0","2","4",".227",".301",".320",".621","18","12","-0.172","1.18","0.000","-0.172","-1.5","1","1","GDP"
"Drew Butera  C","4","0","0","0","0","1","4",".147",".171",".206",".377","14","10","-0.084","0.79","0.000","-0.084","-0.7","5","0",""
"Alexi Casilla  SS","3","1","2","0","0","0","3",".200",".245",".240",".485","11","7","0.073","1.48","0.117","-0.044","0.4","1","2",""
"","","","","","","","","","","","","","","","","","","","","",""
"Carl Pavano  P","","","","","","","","","","","","","","","","","","","0","0",""
"Glen Perkins  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jim Hoey  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jose Mijares  P","","","","","","","","","","","","","","","","","","","0","0",""
"Matt Capps  P","","","","","","","","","","","","","","","","","","","0","0",""
