"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Denard Span  CF","4","0","0","0","0","3","4",".333",".412",".533",".945","12","10","-0.161","1.37","0.000","-0.161","-1.4","1","0","GDP"
"Tsuyoshi Nishioka  2B","4","0","2","1","0","0","4",".267",".353",".333",".686","14","7","0.138","1.06","0.172","-0.034","0.8","3","4","2B"
"Joe Mauer  C","4","0","0","0","0","0","4",".091",".167",".091",".258","13","7","-0.139","1.34","0.000","-0.139","-0.9","5","1",""
"Justin Morneau  1B","4","1","2","0","0","0","4",".214",".267",".286",".552","11","6","-0.010","1.17","0.073","-0.083","0.1","9","0","2B"
"Delmon Young  LF","4","1","1","0","0","1","4",".125",".125",".125",".250","14","10","-0.200","1.66","0.014","-0.214","-1.0","4","0","GDP"
"Jim Thome  DH","4","0","1","2","0","1","4",".143",".143",".286",".429","16","10","0.070","1.15","0.143","-0.073","1.7","","","2B"
"Jason Kubel  RF","4","0","1","0","0","0","4",".333",".385",".333",".718","19","14","-0.064","1.35","0.044","-0.108","-0.7","1","0",""
"Jason Repko  PR","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","","",""
"Danny Valencia  3B","3","0","0","0","1","0","4",".077",".200",".308",".508","18","10","-0.114","1.48","0.030","-0.143","-0.3","0","1",""
"Alexi Casilla  SS","3","1","1","0","0","0","3",".250",".250",".500",".750","8","6","0.001","0.93","0.050","-0.049","-0.1","1","3","2B"
"","","","","","","","","","","","","","","","","","","","","",""
"Scott Baker  P","","","","","","","","","","","","","","","","","","","0","0",""
"Kevin Slowey  P","","","","","","","","","","","","","","","","","","","0","0",""
"Dusty Hughes  P","","","","","","","","","","","","","","","","","","","0","0",""
