"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ben Revere  CF","4","1","1","0","0","0","4",".252",".298",".285",".582","12","9","-0.056","1.14","0.060","-0.116","-0.6","3","0","SB,GDP"
"Trevor Plouffe  2B","4","0","0","0","0","1","4",".204",".295",".398",".693","21","14","-0.080","0.68","0.000","-0.080","-1.1","1","1",""
"Joe Mauer  C","4","0","0","0","0","0","4",".287",".359",".345",".704","15","8","-0.059","0.56","0.000","-0.059","-0.8","6","0",""
"Michael Cuddyer  1B","4","1","1","1","0","0","4",".299",".371",".480",".852","18","13","0.061","0.45","0.076","-0.015","1.1","6","0",""
"Jason Kubel  RF","4","0","1","0","0","1","4",".306",".358",".460",".818","16","10","-0.047","0.61","0.009","-0.056","-0.3","2","0",""
"Jim Thome  DH","4","1","2","1","0","0","4",".238",".354",".442",".796","13","7","0.018","0.48","0.046","-0.029","0.5","","","2B"
"Matt Tolbert  PR","0","0","0","0","0","0","0",".199",".250",".281",".531","","","0.000","0.00","0.000","0.000","0.0","","",""
"Danny Valencia  3B","4","0","1","0","0","1","4",".239",".288",".388",".676","17","11","-0.044","0.55","0.009","-0.054","-0.4","0","1",""
"Delmon Young  LF","3","0","1","1","1","1","4",".265",".296",".346",".642","14","8","0.139","0.76","0.152","-0.012","0.6","4","0",""
"Tsuyoshi Nishioka  SS","3","0","1","0","0","0","3",".212",".265",".238",".504","15","9","-0.038","1.05","0.018","-0.056","-0.6","2","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Nick Blackburn  P","","","","","","","","","","","","","","","","","","","0","1",""
"Anthony Swarzak  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jose Mijares  P","","","","","","","","","","","","","","","","","","","0","0",""
