"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Brett Gardner  LF","4","1","1","0","0","0","4",".292",".369",".440",".809","18","10","-0.013","0.59","0.028","-0.041","-0.2","2","1",""
"Curtis Granderson  CF","4","1","1","0","0","1","4",".280",".354",".588",".942","25","15","0.039","0.69","0.074","-0.035","0.2","2","0",""
"Nick Swisher  RF","4","0","0","1","0","0","4",".234",".362",".381",".743","19","11","-0.025","1.06","0.027","-0.052","-0.3","3","0",""
"David Robertson  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Mariano Rivera  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Robinson Cano  2B","4","1","2","1","0","0","4",".297",".343",".520",".863","17","13","0.106","0.82","0.135","-0.029","0.8","5","3",""
"Jorge Posada  1B","2","1","1","2","1","1","3",".227",".322",".392",".714","11","6","0.280","1.02","0.297","-0.018","1.8","5","0","HR"
"Mark Teixeira  1B","1","0","0","0","0","0","1",".250",".362",".530",".892","5","3","-0.007","0.27","0.000","-0.007","-0.2","2","0",""
"Eduardo Nunez  SS","4","0","1","0","0","0","4",".247",".297",".388",".685","13","9","-0.063","0.59","0.014","-0.077","-0.8","0","1","2B,CS"
"Ramiro Pena  3B","3","0","0","0","0","0","4",".200",".273",".500",".773","18","14","-0.003","0.45","0.021","-0.024","-0.1","0","4","HBP"
"Francisco Cervelli  C","3","0","0","0","0","2","3",".175",".238",".263",".501","14","10","-0.067","0.88","0.000","-0.067","-0.7","7","0",""
"Freddy Garcia  P","3","0","0","0","0","0","3",".000",".000",".000",".000","9","7","-0.052","0.69","0.000","-0.052","-0.6","1","1",""
"Chris Dickerson  RF","0","0","0","0","0","0","0",".313",".389",".438",".826","","","0.000","0.00","0.000","0.000","0.0","0","0",""
