"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Derek Jeter  SS","4","1","1","0","0","0","5",".264",".328",".332",".660","20","13","0.026","0.68","0.066","-0.040","0.2","1","1","2B,HBP"
"Curtis Granderson  CF","5","0","0","0","0","2","5",".278",".348",".612",".960","23","17","-0.112","0.80","0.000","-0.112","-1.4","0","0",""
"Mark Teixeira  1B","4","0","1","0","0","1","4",".257",".367",".535",".901","9","6","-0.030","0.70","0.027","-0.057","-0.2","12","0",""
"Alex Rodriguez  DH","4","1","2","1","0","0","4",".292",".361",".484",".845","9","7","0.116","0.92","0.148","-0.033","0.9","","","2B"
"Robinson Cano  2B","3","1","1","0","1","0","4",".284",".324",".514",".839","12","5","0.040","1.08","0.091","-0.051","0.4","3","6",""
"Nick Swisher  RF","3","1","1","3","1","0","4",".215",".338",".331",".669","19","9","0.216","1.22","0.258","-0.042","1.6","2","0","HR"
"Chris Dickerson  RF","0","0","0","0","0","0","0",".308",".400",".385",".785","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Russell Martin  C","3","0","0","0","1","1","4",".242",".352",".458",".809","17","7","-0.017","0.88","0.048","-0.065","-0.3","6","1","SB"
"Andruw Jones  LF","2","0","0","0","1","0","3",".230",".299",".459",".758","12","4","-0.036","0.66","0.013","-0.049","-0.5","0","0",""
"Brett Gardner  LF","1","0","0","0","0","0","1",".248",".329",".379",".709","4","2","-0.013","0.46","0.000","-0.013","-0.2","1","0",""
"Eduardo Nunez  3B","4","0","0","0","0","1","4",".224",".255",".367",".622","17","12","-0.071","0.65","0.000","-0.071","-1.0","1","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"A.J. Burnett  P","","","","","","","","","","","","","","","","","","","0","2",""
"Joba Chamberlain  P","","","","","","","","","","","","","","","","","","","1","1",""
"Mariano Rivera  P","","","","","","","","","","","","","","","","","","","0","0",""
