"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jemile Weeks  2B","5","1","3","0","0","1","5",".328",".377",".500",".877","18","14","0.070","0.72","0.103","-0.033","1.0","0","5","2B"
"Mark Ellis  1B","4","0","2","1","0","1","5",".217",".253",".290",".544","14","10","-0.035","1.27","0.116","-0.151","0.1","11","3","CS,HBP"
"Coco Crisp  CF","3","1","1","1","1","0","5",".260",".296",".379",".675","18","10","0.098","1.02","0.147","-0.049","0.8","2","0","SB,SF,GDP"
"Hideki Matsui  LF","5","0","2","0","0","1","5",".226",".302",".357",".659","11","9","0.051","1.07","0.091","-0.041","0.4","2","0",""
"Conor Jackson  RF","4","0","0","0","0","1","4",".254",".338",".311",".649","14","8","-0.139","1.49","0.000","-0.139","-1.4","2","0",""
"Scott Sizemore  3B","4","0","1","1","0","0","4",".268",".359",".330",".690","14","8","0.012","1.53","0.125","-0.113","-0.1","0","1",""
"Andrew Bailey  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Kurt Suzuki  C","4","0","0","0","0","0","4",".222",".295",".331",".626","11","6","-0.146","1.39","0.000","-0.146","-1.4","6","0",""
"Adam Rosales  SS-3B","3","1","1","1","1","1","4",".150",".190",".450",".640","13","5","0.109","0.73","0.147","-0.038","0.8","0","1","HR"
"Trevor Cahill  P","3","0","0","0","0","2","3",".000",".000",".000",".000","14","10","-0.062","0.87","0.000","-0.062","-0.6","3","2",""
"Cliff Pennington  SS","0","1","0","0","1","0","1",".247",".304",".327",".631","5","1","0.016","0.45","0.016","0.000","0.2","1","1",""
