"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ichiro Suzuki  RF","4","0","0","0","0","1","4",".271",".309",".324",".633","12","8","-0.071","0.72","0.000","-0.071","-0.6","3","0",""
"Brendan Ryan  SS","4","0","0","0","0","0","4",".246",".313",".327",".640","12","8","-0.064","0.64","0.000","-0.064","-0.6","2","3",""
"Dustin Ackley  2B","3","0","0","0","0","0","3",".300",".374",".471",".845","10","7","-0.052","0.70","0.000","-0.052","-0.5","2","0",""
"Mike Carp  LF","2","0","0","0","1","0","3",".279",".340",".460",".801","12","6","0.009","0.70","0.038","-0.029","0.1","1","0",""
"Justin Smoak  1B","3","0","0","0","0","2","3",".225",".316",".381",".697","12","8","-0.076","1.07","0.000","-0.076","-0.7","7","0",""
"Miguel Olivo  C","3","0","0","0","0","1","3",".220",".254",".368",".622","7","7","-0.071","0.98","0.000","-0.071","-0.6","4","0",""
"Wily Mo Pena  DH","3","0","0","0","0","0","3",".205",".233",".482",".714","10","7","-0.052","0.68","0.000","-0.052","-0.5","","",""
"Trayvon Robinson  CF","3","1","1","1","0","1","3",".274",".319",".464",".783","6","6","0.136","0.92","0.172","-0.036","0.7","5","0","HR"
"Alex Liddi  3B","2","0","0","0","0","1","2",".000",".000",".000",".000","8","6","-0.040","0.82","0.000","-0.040","-0.4","0","2",""
"Kyle Seager  PH","1","0","0","0","0","0","1",".282",".331",".387",".718","2","2","-0.035","1.42","0.000","-0.035","-0.2","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Charlie Furbush  P","","","","","","","","","","","","","","","","","","","0","2",""
"Tom Wilhelmsen  P","","","","","","","","","","","","","","","","","","","0","0",""
