"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ichiro Suzuki  RF","6","1","2","0","1","0","7",".309",".358",".355",".713","25","11","-0.053","1.51","0.069","-0.122","-0.2","0","0","2B,IW"
"Chone Figgins  3B","7","0","2","1","0","0","7",".220",".270",".315",".585","22","14","0.100","1.90","0.300","-0.200","0.1","1","2","2B"
"Justin Smoak  1B","4","0","1","1","2","1","6",".291",".398",".524",".923","31","14","0.132","2.29","0.354","-0.222","0.3","10","0","GDP,IW"
"Miguel Olivo  C","4","1","1","1","2","1","6",".213",".258",".287",".545","25","12","0.132","1.93","0.249","-0.118","0.8","12","3",""
"Jack Cust  DH","5","0","2","0","1","1","6",".208",".368",".264",".633","25","14","-0.158","1.82","0.080","-0.238","-0.8","","","2B"
"Adam Kennedy  2B","4","1","1","2","0","1","4",".260",".293",".429",".721","18","10","0.061","1.24","0.179","-0.117","0.6","0","2","HR"
"Jack Wilson  2B","2","1","1","0","0","0","2",".250",".282",".288",".570","7","5","0.126","2.08","0.171","-0.045","0.5","4","0","2B"
"Carlos Peguero  LF","2","0","0","0","0","1","2",".154",".154",".154",".308","7","6","-0.064","1.17","0.000","-0.064","-0.7","3","0",""
"Mike Wilson  PH-LF","4","0","1","1","0","1","4",".250",".250",".250",".500","10","8","0.093","1.60","0.189","-0.096","0.2","2","1",""
"Brendan Ryan  SS","5","0","1","0","0","0","6",".208",".277",".257",".534","13","10","-0.145","1.06","0.000","-0.145","-1.1","2","4","SH"
"Michael Saunders  CF","6","2","2","0","0","2","6",".180",".231",".260",".491","32","22","0.037","1.30","0.140","-0.103","-0.4","4","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Michael Pineda  P","","","","","","","","","","","","","","","","","","","0","0",""
"David Pauley  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jamey Wright  P","","","","","","","","","","","","","","","","","","","0","0",""
"Aaron Laffey  P","","","","","","","","","","","","","","","","","","","0","2",""
"Chris Ray  P","","","","","","","","","","","","","","","","","","","0","0",""
"Brandon League  P","","","","","","","","","","","","","","","","","","","0","0",""
