"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Sam Fuld  LF","5","0","1","0","0","1","5",".248",".307",".376",".683","19","12","-0.018","0.76","0.059","-0.077","-0.6","1","0","2B"
"Ben Zobrist  2B","5","1","2","0","0","1","5",".289",".352",".578",".930","23","15","0.030","0.70","0.063","-0.033","0.3","4","3","2B"
"Johnny Damon  DH","5","1","1","0","0","2","5",".256",".285",".432",".717","15","11","-0.067","1.11","0.073","-0.140","-1.0","","","2B"
"Evan Longoria  3B","3","1","1","1","1","0","4",".269",".406",".500",".906","17","8","0.052","1.16","0.098","-0.046","0.4","4","2","IW"
"Matthew Joyce  RF","4","2","2","0","0","0","4",".351",".398",".515",".914","20","13","0.080","1.13","0.139","-0.060","0.8","2","0","2·2B"
"Melvin Upton  CF","4","0","2","4","0","0","4",".260",".338",".447",".785","8","5","0.183","1.18","0.215","-0.032","1.5","3","0",""
"Casey Kotchman  1B","3","0","0","0","1","0","4",".355",".437",".452",".888","12","8","-0.028","0.50","0.014","-0.043","-0.4","6","0",""
"Reid Brignac  SS","4","0","1","0","0","0","4",".195",".235",".195",".429","6","4","-0.031","0.54","0.014","-0.045","-0.4","2","3",""
"John Jaso  C","3","0","1","0","1","0","4",".246",".319",".431",".750","18","10","-0.022","0.66","0.034","-0.055","-0.2","4","0","GDP"
"","","","","","","","","","","","","","","","","","","","","",""
"Wade Davis  P","","","","","","","","","","","","","","","","","","","0","2",""
"Rob Delaney  P","","","","","","","","","","","","","","","","","","","0","0",""
"Joel Peralta  P","","","","","","","","","","","","","","","","","","","1","0",""
"Kyle Farnsworth  P","","","","","","","","","","","","","","","","","","","0","0",""
