"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Desmond Jennings  LF","5","0","2","1","0","1","5",".545",".667","1.000","1.667","19","14","0.033","1.00","0.161","-0.128","0.3","5","0","2B,SB"
"Johnny Damon  DH","5","1","1","0","0","1","5",".275",".323",".417",".740","19","12","0.023","0.87","0.083","-0.059","0.0","","","2B"
"Ben Zobrist  2B","4","1","3","1","1","0","5",".276",".369",".491",".860","17","7","0.201","0.90","0.217","-0.016","2.2","1","1","HR,2·2B,SB"
"Evan Longoria  3B","1","0","0","0","4","1","5",".241",".344",".460",".804","26","10","0.076","1.29","0.105","-0.028","0.4","1","3",""
"Matthew Joyce  RF","5","1","0","1","0","2","5",".280",".336",".503",".840","24","18","-0.183","2.00","0.036","-0.219","-1.9","3","0",""
"Melvin Upton  CF","4","0","1","1","0","0","4",".229",".310",".399",".709","17","12","-0.006","1.59","0.123","-0.130","-0.3","2","0","3B"
"Casey Kotchman  1B","4","0","1","0","0","0","4",".325",".388",".450",".837","18","11","-0.089","1.24","0.023","-0.112","-0.6","8","0",""
"Kelly Shoppach  C","3","1","2","1","0","0","3",".189",".287",".329",".615","10","7","0.086","0.84","0.134","-0.047","0.9","2","0","HR,GDP"
"Sam Fuld  PH","1","0","0","0","0","0","1",".243",".300",".367",".667","3","2","-0.039","1.56","0.000","-0.039","-0.2","","",""
"Robinson Chirinos  C","0","0","0","0","0","0","0",".167",".286",".222",".508","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Sean Rodriguez  SS","3","1","1","0","0","0","3",".211",".295",".362",".657","13","8","-0.010","0.99","0.043","-0.053","-0.2","1","1",""
"Elliot Johnson  PH-SS","1","0","0","0","0","1","1",".195",".262",".344",".606","6","4","-0.026","1.02","0.000","-0.026","-0.1","1","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jeremy Hellickson  P","","","","","","","","","","","","","","","","","","","0","0",""
"Brandon Gomes  P","","","","","","","","","","","","","","","","","","","0","0",""
"J.P. Howell  P","","","","","","","","","","","","","","","","","","","0","0",""
"Joel Peralta  P","","","","","","","","","","","","","","","","","","","0","0",""
"Cesar Ramos  P","","","","","","","","","","","","","","","","","","","0","0",""
