"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ian Kinsler  2B","5","1","1","0","0","1","5",".233",".348",".403",".751","14","9","-0.104","0.89","0.004","-0.108","-0.9","0","1",""
"Elvis Andrus  SS","5","1","1","0","0","0","5",".275",".321",".349",".670","13","8","0.014","0.59","0.054","-0.040","0.5","1","0",""
"Josh Hamilton  CF","5","1","4","3","0","0","5",".302",".355",".511",".866","18","12","0.291","0.74","0.294","-0.003","3.5","4","0","HR"
"Adrian Beltre  3B","5","1","1","0","0","1","5",".261",".312",".456",".768","25","17","-0.049","0.69","0.026","-0.075","-0.9","1","3",""
"Michael Young  1B","4","2","2","0","1","0","5",".310",".351",".434",".785","18","9","0.066","0.68","0.104","-0.038","0.9","5","1","2B,IW"
"Neftali Feliz  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Nelson Cruz  LF-RF","5","0","2","3","0","3","5",".225",".281",".495",".776","19","14","0.172","0.77","0.202","-0.030","1.5","2","0","2·2B"
"Mitch Moreland  RF-1B","4","0","0","0","1","0","5",".295",".359",".473",".833","19","10","-0.027","0.51","0.024","-0.051","-1.3","2","0",""
"Yorvit Torrealba  C","3","0","1","0","1","1","4",".254",".287",".362",".649","16","11","0.027","0.75","0.052","-0.025","-0.1","12","0",""
"Colby Lewis  P","3","0","0","0","0","1","3",".000",".000",".000",".000","10","8","-0.096","1.41","0.000","-0.096","-1.3","0","1",""
"Arthur Rhodes  P","1","0","0","0","0","1","1",".000",".000",".000",".000","6","3","-0.003","0.11","0.000","-0.003","-0.1","0","0",""
"Yoshinori Tateyama  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"David Murphy  LF","0","0","0","0","0","0","0",".242",".310",".332",".641","","","0.000","0.00","0.000","0.000","0.0","0","0",""
