"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ian Kinsler  2B","3","2","2","1","2","0","5",".236",".354",".409",".763","20","8","0.208","0.97","0.208","0.000","1.8","1","4","HR,SB"
"Elvis Andrus  SS","4","1","2","0","1","0","5",".278",".322",".351",".674","17","11","-0.106","1.25","0.031","-0.137","-0.7","1","1",""
"Josh Hamilton  LF","5","1","3","1","0","0","5",".292",".340",".492",".833","15","9","0.224","0.82","0.224","0.000","2.3","2","0","2B"
"Michael Young  DH","3","0","1","1","1","1","4",".306",".346",".430",".776","12","7","0.087","1.32","0.122","-0.036","0.4","","",""
"Adrian Beltre  3B","3","0","0","1","0","0","4",".262",".313",".464",".776","8","6","-0.090","1.42","0.011","-0.101","-1.3","2","4","SF"
"Nelson Cruz  RF","4","0","0","0","0","1","4",".221",".278",".487",".765","15","12","-0.173","1.14","0.000","-0.173","-1.8","3","0","GDP"
"Mitch Moreland  1B","4","0","1","0","0","1","4",".303",".367",".490",".856","16","12","0.001","0.81","0.053","-0.052","-0.3","10","0",""
"Yorvit Torrealba  C","4","0","1","0","0","1","4",".253",".283",".362",".645","11","7","-0.025","0.94","0.042","-0.068","-0.2","4","0",""
"Endy Chavez  CF","4","0","0","0","0","0","4",".361",".409",".557",".966","17","14","-0.083","0.84","0.000","-0.083","-1.0","1","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Derek Holland  P","","","","","","","","","","","","","","","","","","","0","2",""
"Mark Lowe  P","","","","","","","","","","","","","","","","","","","0","0",""
"Darren Oliver  P","","","","","","","","","","","","","","","","","","","0","0",""
"Neftali Feliz  P","","","","","","","","","","","","","","","","","","","0","0",""
