"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Elvis Andrus  SS","4","1","1","0","0","2","4",".265",".311",".337",".648","16","13","-0.011","1.39","0.089","-0.100","0.3","0","1","SB"
"Mitch Moreland  RF","3","0","1","1","1","0","4",".286",".366",".500",".866","19","11","0.117","1.29","0.146","-0.029","1.4","1","0","SB"
"Ian Kinsler  2B","4","0","0","0","0","1","4",".228",".330",".407",".737","12","8","-0.218","1.50","0.000","-0.218","-1.7","3","5","GDP"
"Michael Young  1B","4","0","0","0","0","1","4",".326",".370",".477",".847","23","15","-0.128","1.29","0.000","-0.128","-0.8","7","2",""
"Adrian Beltre  3B","4","0","2","0","0","1","4",".260",".310",".491",".801","10","9","0.005","1.27","0.087","-0.082","0.1","0","1","2B"
"David Murphy  LF","4","0","1","0","0","1","4",".239",".313",".328",".642","17","12","-0.147","1.75","0.041","-0.189","-1.0","1","0","CS"
"Yorvit Torrealba  C","2","0","0","0","0","1","2",".215",".244",".331",".575","8","6","-0.042","0.84","0.000","-0.042","-0.4","10","0",""
"Chris Davis  PH","1","0","0","0","0","0","1",".250",".321",".479",".800","5","3","-0.041","1.77","0.000","-0.041","-0.3","","",""
"Taylor Teagarden  C","0","0","0","0","0","0","0",".000",".200",".000",".200","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Craig Gentry  CF","3","0","1","0","0","1","3",".185",".313",".185",".498","9","6","-0.008","0.76","0.032","-0.041","-0.1","1","0",""
"Dave Bush  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"C.J. Wilson  P","1","0","0","0","0","0","2",".000",".000",".000",".000","3","3","-0.051","1.27","0.000","-0.051","-0.4","1","0","SH"
"Endy Chavez  PH-CF","1","1","1","0","0","0","1",".333",".407",".458",".866","3","2","0.089","1.40","0.089","0.000","0.6","0","0","2B"
