"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Yunel Escobar  SS","4","0","1","0","0","0","4",".280",".356",".425",".781","8","5","0.059","1.34","0.121","-0.062","0.1","2","4",""
"Corey Patterson  LF","4","0","0","0","0","2","4",".266",".297",".402",".698","18","11","-0.149","1.55","0.000","-0.149","-0.9","3","0",""
"Jose Bautista  RF","4","0","0","0","0","2","4",".330",".476",".657","1.133","17","12","-0.160","1.71","0.000","-0.160","-1.0","1","0",""
"Adam Lind  1B","4","0","0","0","0","2","4",".324",".369",".605",".974","16","11","-0.077","1.40","0.038","-0.116","-0.3","9","3",""
"Aaron Hill  2B","3","0","0","0","0","2","3",".242",".284",".344",".629","10","7","-0.067","0.94","0.000","-0.067","-0.5","0","1",""
"J.P. Arencibia  C","3","0","1","0","0","1","3",".230",".282",".451",".733","10","7","-0.026","1.28","0.038","-0.064","-0.1","6","0",""
"Rajai Davis  CF","3","0","0","0","0","1","3",".240",".271",".353",".624","12","8","-0.089","1.29","0.000","-0.089","-0.7","1","0",""
"Jayson Nix  3B","2","0","0","0","0","0","2",".176",".253",".321",".574","6","5","-0.058","1.16","0.000","-0.058","-0.5","1","2",""
"Edwin Encarnacion  PH","1","0","0","0","0","0","1",".254",".292",".370",".662","3","2","-0.012","0.48","0.000","-0.012","-0.1","","",""
"Luis Perez  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Shawn Camp  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Ricky Romero  P","2","0","0","0","0","1","2",".000",".000",".000",".000","7","5","-0.058","1.17","0.000","-0.058","-0.4","1","3",""
"Mike McCoy  3B","0","0","0","0","1","0","1",".224",".333",".313",".647","4","0","0.073","1.43","0.073","0.000","0.4","0","0",""
