"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Yunel Escobar  SS","3","0","2","1","1","0","5",".295",".371",".404",".775","24","13","0.038","1.02","0.074","-0.037","0.1","1","2","CS,SF"
"Corey Patterson  LF","5","0","1","0","0","1","5",".276",".313",".431",".744","16","12","-0.074","1.30","0.059","-0.134","-0.7","5","0",""
"Jose Bautista  RF","5","1","2","0","0","0","5",".370",".516",".849","1.365","17","9","0.157","1.31","0.214","-0.057","0.9","2","0",""
"Edwin Encarnacion  1B","5","1","2","0","0","0","5",".252",".279",".350",".629","9","6","0.009","1.43","0.131","-0.122","-0.3","11","0",""
"Aaron Hill  2B","4","1","2","1","0","1","4",".237",".274",".299",".573","17","11","0.126","2.16","0.257","-0.131","0.9","1","2","2B"
"Juan Rivera  DH","3","0","0","1","0","0","4",".203",".295",".266",".560","8","6","-0.137","1.81","0.018","-0.155","-1.2","","","SF"
"J.P. Arencibia  C","3","1","1","1","0","0","4",".231",".300",".481",".781","16","11","0.026","1.28","0.092","-0.066","-0.0","2","0","SF"
"Rajai Davis  CF","4","0","2","0","0","0","4",".244",".284",".311",".595","9","6","0.049","1.30","0.108","-0.059","0.3","2","0",""
"John McDonald  3B","3","0","0","0","0","0","4",".211",".276",".326",".603","20","14","-0.054","1.36","0.000","-0.054","-0.7","3","3","SH"
"","","","","","","","","","","","","","","","","","","","","",""
"Kyle Drabek  P","","","","","","","","","","","","","","","","","","","0","3",""
"Marc Rzepczynski  P","","","","","","","","","","","","","","","","","","","0","0",""
"Frank Francisco  P","","","","","","","","","","","","","","","","","","","0","0",""
