"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Xavier Avery  LF","3","0","0","0","1","0","4",".238",".304",".381",".685","12","8","-0.022","1.33","0.033","-0.055","-0.2","3","0",""
"J.J. Hardy  SS","4","0","1","2","0","0","4",".261",".309",".491",".799","16","9","0.220","1.83","0.285","-0.064","1.2","0","5",""
"Nick Markakis  RF","4","1","2","0","0","1","4",".253",".335",".435",".770","17","11","-0.011","0.90","0.050","-0.061","-0.2","1","0",""
"Adam Jones  CF","3","1","1","2","1","1","4",".296",".345",".604",".949","22","11","0.144","0.87","0.174","-0.030","1.5","1","0","HR"
"Wilson Betemit  DH","4","1","1","0","0","1","4",".233",".292",".456",".748","15","9","-0.010","1.22","0.070","-0.080","-0.5","","",""
"Chris Davis  1B","4","1","3","0","0","0","4",".296",".336",".472",".808","17","10","0.271","1.21","0.302","-0.031","1.5","12","1","CS"
"Robert Andino  2B","4","0","0","0","0","0","4",".272",".322",".382",".704","8","7","-0.123","1.32","0.000","-0.123","-1.3","4","2","GDP"
"Ryan Flaherty  3B","4","0","0","0","0","2","4",".152",".167",".217",".384","16","9","-0.179","1.33","0.000","-0.179","-1.3","1","0",""
"Luis Exposito  C","3","1","0","0","1","2","4",".077",".143",".077",".220","16","9","-0.035","1.16","0.018","-0.052","-0.4","4","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Brian Matusz  P","","","","","","","","","","","","","","","","","","","0","3",""
"Luis Ayala  P","","","","","","","","","","","","","","","","","","","0","0",""
"Pedro Strop  P","","","","","","","","","","","","","","","","","","","1","0",""
"Jim Johnson  P","","","","","","","","","","","","","","","","","","","0","0",""
