"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Brian Roberts  2B","3","0","0","0","1","0","4",".241",".258",".241",".499","23","15","-0.079","0.83","0.014","-0.093","-0.7","1","5","CS"
"J.J. Hardy  SS","4","0","1","0","0","0","4",".250",".288",".426",".714","14","9","-0.005","0.76","0.044","-0.049","-0.5","0","2",""
"Adam Jones  CF","4","0","1","0","0","1","4",".306",".355",".572",".927","17","11","-0.034","0.76","0.021","-0.055","-0.7","4","0",""
"Matt Wieters  C","3","0","2","0","1","0","4",".254",".341",".446",".788","12","4","0.203","0.96","0.206","-0.003","1.5","3","1","2·2B"
"Mark Reynolds  1B","4","0","0","0","0","2","4",".227",".349",".403",".752","25","14","-0.213","1.54","0.000","-0.213","-1.8","14","0",""
"Steve Pearce  RF","3","0","0","0","0","2","3",".275",".295",".425",".720","13","10","-0.129","1.56","0.000","-0.129","-1.1","1","0",""
"Ryan Flaherty  PH","1","0","0","0","0","0","1",".183",".213",".225",".439","2","2","0.000","0.01","0.000","0.000","-0.1","","",""
"Steven Tolleson  LF","3","0","0","0","0","1","3",".205",".255",".386",".642","10","6","-0.079","1.02","0.000","-0.079","-0.7","0","0",""
"Robert Andino  3B","3","0","0","0","0","0","3",".233",".290",".317",".607","9","7","-0.053","0.73","0.000","-0.053","-0.5","0","1",""
"Dana Eveland  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","1","1",""
"Tommy Hunter  P","2","0","0","0","0","1","2",".000",".000",".000",".000","7","6","-0.031","0.63","0.000","-0.031","-0.2","0","3",""
"Wilson Betemit  3B","1","0","1","0","0","0","1",".242",".312",".412",".724","5","3","0.015","0.35","0.015","0.000","0.6","0","3",""
