"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Pedro Ciriaco  3B-2B","5","0","1","0","0","0","5",".345",".358",".473",".831","14","10","-0.045","0.45","0.009","-0.054","-0.6","0","3",""
"Jacoby Ellsbury  CF","4","1","0","0","0","0","4",".273",".317",".383",".700","11","8","-0.040","0.42","0.000","-0.040","-0.9","0","0","SB"
"Ryan Kalish  CF","1","0","0","0","0","0","1",".202",".244",".238",".483","1","1","0.000","0.01","0.000","0.000","-0.1","0","0",""
"Dustin Pedroia  2B","3","0","1","1","1","0","4",".282",".338",".438",".776","21","10","0.013","0.27","0.024","-0.012","0.7","2","1",""
"James Loney  1B","1","0","1","0","0","0","1",".256",".304",".343",".647","4","2","0.000","0.00","0.000","0.000","0.2","0","1",""
"Cody Ross  RF","4","0","0","0","1","2","5",".278",".342",".517",".858","27","15","0.005","0.28","0.020","-0.015","-0.6","2","0",""
"Ryan Lavarnway  C","4","0","1","0","0","1","4",".196",".258",".250",".508","17","11","-0.048","0.51","0.003","-0.050","-0.5","8","0",""
"Mauro Gomez  1B-3B","4","1","3","0","0","1","4",".327",".386",".462",".848","19","13","0.039","0.25","0.041","-0.002","1.2","7","0",""
"Mike Aviles  DH","4","0","2","0","0","0","4",".257",".287",".403",".689","14","10","0.079","0.68","0.091","-0.012","0.4","","","SB"
"Jose Iglesias  SS","4","0","0","0","0","2","4",".000",".000",".000",".000","13","10","-0.062","0.51","0.000","-0.062","-1.6","2","2",""
"Scott Podsednik  LF","3","1","2","1","0","0","4",".370",".389",".437",".826","12","10","-0.007","0.37","0.011","-0.018","0.6","2","0","SF"
"","","","","","","","","","","","","","","","","","","","","",""
"Zach Stewart  P","","","","","","","","","","","","","","","","","","","0","0",""
"Junichi Tazawa  P","","","","","","","","","","","","","","","","","","","0","1",""
"Andrew Miller  P","","","","","","","","","","","","","","","","","","","0","0",""
"Alfredo Aceves  P","","","","","","","","","","","","","","","","","","","1","0",""
