"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alejandro De Aza  CF-LF","4","0","1","0","0","2","4",".281",".345",".413",".757","15","12","-0.075","0.93","0.011","-0.086","-0.7","0","1",""
"Kevin Youkilis  3B","3","0","1","0","1","1","4",".229",".338",".416",".754","17","10","0.022","0.78","0.059","-0.037","0.3","0","2",""
"Adam Dunn  DH","4","0","0","0","0","3","4",".207",".337",".476",".813","17","12","-0.137","1.01","0.000","-0.137","-1.4","","","GDP"
"Paul Konerko  1B","4","1","1","1","0","0","4",".302",".372",".491",".863","16","10","-0.001","0.81","0.064","-0.065","0.5","12","2","HR"
"Alex Rios  RF","4","1","3","0","0","0","4",".301",".333",".518",".851","18","13","0.095","0.86","0.115","-0.020","0.7","0","0",""
"A.J. Pierzynski  C","4","0","1","0","0","1","4",".279",".324",".504",".828","11","8","0.012","1.33","0.119","-0.106","0.2","6","1","2B,GDP"
"Dayan Viciedo  LF","2","0","0","0","0","0","2",".251",".293",".424",".717","8","4","-0.030","0.59","0.000","-0.030","-0.3","1","1",""
"Dewayne Wise  PH-CF","2","0","0","1","0","0","2",".275",".302",".466",".769","8","8","-0.068","1.81","0.000","-0.068","-0.3","0","0",""
"Alexei Ramirez  SS","3","0","1","0","0","0","3",".270",".292",".374",".666","12","9","-0.055","1.10","0.038","-0.093","-0.4","2","10","SB"
"Gordon Beckham  2B","3","0","0","0","0","0","3",".239",".300",".384",".683","9","6","-0.089","1.15","0.000","-0.089","-0.8","3","4",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jose Quintana  P","","","","","","","","","","","","","","","","","","","0","1",""
"Nate Jones  P","","","","","","","","","","","","","","","","","","","0","0",""
"Brett Myers  P","","","","","","","","","","","","","","","","","","","0","0",""
