"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alejandro De Aza  CF","5","2","2","1","0","0","5",".235",".235",".471",".706","12","6","0.062","0.61","0.115","-0.053","-0.4","2","0","HR,2B"
"Brent Morel  3B","5","0","1","1","0","3","5",".077",".077",".077",".154","22","15","0.014","0.47","0.056","-0.043","0.0","0","3",""
"Adam Dunn  1B","4","0","0","0","1","2","5",".154",".353",".385",".738","33","20","-0.024","0.30","0.006","-0.030","-0.4","13","0",""
"Paul Konerko  DH","5","1","2","0","0","1","5",".412",".412",".529",".941","16","13","-0.001","0.27","0.020","-0.021","-0.3","","","2B"
"A.J. Pierzynski  C","4","1","1","2","0","1","4",".167",".167",".417",".583","9","6","0.144","0.47","0.175","-0.031","1.1","7","0","HR"
"Alex Rios  RF","4","0","1","0","0","0","4",".154",".313",".385",".697","13","8","-0.024","0.32","0.013","-0.037","-0.6","2","0","CS"
"Alexei Ramirez  SS","4","0","2","0","0","1","4",".267",".267",".267",".533","16","12","0.005","0.29","0.023","-0.018","0.5","1","4",""
"Dayan Viciedo  LF","3","0","2","0","1","0","4",".364",".417",".545",".962","18","11","0.027","0.34","0.038","-0.011","0.8","0","0","2B"
"Brent Lillibridge  PR-LF","0","0","0","0","0","0","0",".000",".250",".000",".250","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Gordon Beckham  2B","3","0","0","0","1","2","4",".154",".267",".231",".497","22","12","-0.042","0.48","0.007","-0.048","-1.0","1","4",""
"","","","","","","","","","","","","","","","","","","","","",""
"Chris Sale  P","","","","","","","","","","","","","","","","","","","1","1",""
"Addison Reed  P","","","","","","","","","","","","","","","","","","","0","0",""
"Matt Thornton  P","","","","","","","","","","","","","","","","","","","0","0",""
"Hector Santiago  P","","","","","","","","","","","","","","","","","","","0","0",""
