"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Shin-Soo Choo  RF","5","1","3","2","1","2","6",".282",".374",".454",".828","26","16","0.150","1.42","0.213","-0.062","1.7","0","0",""
"Asdrubal Cabrera  SS","6","1","2","1","0","0","6",".292",".373",".487",".860","23","14","-0.079","1.78","0.148","-0.227","-0.4","1","4","HR"
"Jason Kipnis  2B","5","0","3","2","0","0","5",".279",".335",".432",".767","15","8","0.151","1.91","0.266","-0.115","1.6","1","5",""
"Michael Brantley  CF","4","0","1","1","1","1","5",".278",".322",".385",".706","21","14","0.018","1.50","0.110","-0.092","0.7","1","0",""
"Johnny Damon  LF","4","0","0","0","0","1","4",".207",".286",".338",".624","21","16","-0.140","1.44","0.000","-0.140","-1.6","0","0",""
"Aaron Cunningham  LF","1","0","0","0","0","0","1",".181",".263",".208",".471","1","1","-0.039","1.57","0.000","-0.039","-0.2","0","0",""
"Casey Kotchman  1B","5","2","2","0","0","0","5",".228",".283",".341",".623","12","9","0.045","1.16","0.133","-0.088","0.2","13","2","2B"
"Lonnie Chisenhall  DH","2","1","1","0","0","0","3",".278",".297",".458",".756","13","10","0.068","1.10","0.091","-0.023","0.6","","","HBP"
"Shelley Duncan  PR","2","2","2","1","0","0","2",".207",".311",".336",".647","6","4","0.230","1.79","0.230","0.000","1.4","","","2B"
"Jack Hannahan  3B","4","0","1","0","1","1","5",".248",".322",".361",".683","20","11","0.011","1.85","0.150","-0.139","0.2","2","3",""
"Lou Marson  C","4","1","1","0","1","1","5",".250",".367",".329",".696","19","11","-0.109","1.90","0.090","-0.199","-0.7","5","0","GDP"
"","","","","","","","","","","","","","","","","","","","","",""
"Derek Lowe  P","","","","","","","","","","","","","","","","","","","1","0",""
"Jeremy Accardo  P","","","","","","","","","","","","","","","","","","","0","0",""
"Joe Smith  P","","","","","","","","","","","","","","","","","","","0","0",""
"Chris Perez  P","","","","","","","","","","","","","","","","","","","0","0",""
