"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Shin-Soo Choo  RF","3","2","2","0","1","1","4",".276",".393",".428",".821","19","12","0.222","1.15","0.227","-0.005","1.9","3","0","2·2B"
"Jason Kipnis  2B","3","0","2","0","1","0","4",".267",".330",".422",".752","16","8","0.118","1.03","0.139","-0.021","1.8","3","1","2·SB"
"Asdrubal Cabrera  SS","3","0","1","1","0","0","3",".301",".395",".490",".886","16","11","-0.107","1.72","0.060","-0.166","-0.9","1","2",""
"Juan Diaz  SS","1","0","0","0","0","1","1",".000",".000",".000",".000","7","4","-0.004","0.15","0.000","-0.004","-0.4","0","1",""
"Carlos Santana  C","4","0","0","1","0","0","4",".245",".360",".387",".747","14","10","-0.123","1.45","0.000","-0.123","-1.4","5","1",""
"Lou Marson  C","0","0","0","0","0","0","0",".100",".250",".167",".417","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Jose Lopez  3B","4","0","0","0","0","0","4",".267",".313",".450",".763","10","8","-0.094","0.86","0.000","-0.094","-1.1","0","3",""
"Shelley Duncan  DH","3","1","1","1","1","1","4",".200",".316",".358",".674","17","8","-0.005","0.89","0.051","-0.055","1.1","","","HR,SB"
"Johnny Damon  LF","4","0","1","0","0","2","4",".162",".260",".206",".466","21","15","-0.071","0.79","0.003","-0.075","-0.3","1","0",""
"Casey Kotchman  1B","4","0","0","0","0","1","4",".216",".290",".331",".621","13","10","-0.065","0.65","0.000","-0.065","-1.4","7","0","GDP"
"Aaron Cunningham  CF","4","0","0","0","0","1","4",".192",".288",".231",".519","12","10","-0.076","0.71","0.000","-0.076","-0.8","4","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jeanmar Gomez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jairo Asencio  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jeremy Accardo  P","","","","","","","","","","","","","","","","","","","0","1",""
