"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Shin-Soo Choo  RF","4","0","0","0","0","0","4",".269",".369",".388",".757","8","6","-0.091","0.92","0.000","-0.091","-0.6","0","0",""
"Asdrubal Cabrera  SS","4","0","1","0","0","0","4",".297",".383",".462",".844","15","8","-0.088","1.11","0.031","-0.119","-0.6","2","4","CS"
"Jason Kipnis  2B","4","0","0","0","0","1","4",".277",".336",".438",".774","19","13","-0.099","1.00","0.000","-0.099","-0.7","2","0",""
"Carlos Santana  C","3","0","0","0","1","1","4",".229",".344",".360",".704","21","11","-0.029","0.82","0.032","-0.061","-0.2","6","1",""
"Michael Brantley  CF","4","0","2","0","0","1","4",".288",".328",".401",".729","9","8","0.093","1.08","0.119","-0.027","0.5","3","0",""
"Johnny Damon  LF","3","0","0","0","0","0","3",".182",".277",".283",".560","13","8","-0.111","1.97","0.013","-0.123","-0.7","2","0",""
"Casey Kotchman  1B","2","0","0","0","1","0","3",".219",".289",".326",".615","11","5","-0.088","1.78","0.021","-0.109","-0.5","8","1",""
"Lonnie Chisenhall  3B","3","0","0","0","0","0","3",".212",".212",".394",".606","14","10","-0.121","1.55","0.000","-0.121","-0.9","0","2",""
"Justin Masterson  P","2","0","0","0","0","1","2",".000",".000",".000",".000","7","6","-0.047","0.94","0.000","-0.047","-0.4","1","0",""
"Shelley Duncan  PH","1","0","0","0","0","0","1",".198",".301",".336",".638","6","3","-0.053","2.14","0.000","-0.053","-0.2","","",""
"Jeremy Accardo  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","1",""
