"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Austin Jackson  CF","3","1","1","1","2","2","5",".323",".405",".538",".942","21","9","0.105","0.69","0.131","-0.027","0.7","1","0","HR"
"Quintin Berry  LF","5","0","0","0","0","1","5",".288",".370",".394",".764","27","21","-0.122","0.72","0.000","-0.122","-1.9","2","0","GDP"
"Miguel Cabrera  3B","5","1","2","1","0","1","5",".330",".386",".570",".956","19","14","-0.014","0.37","0.026","-0.040","0.6","0","2","HR"
"Prince Fielder  1B","4","1","1","0","1","0","5",".301",".380",".500",".880","19","10","0.001","0.39","0.029","-0.028","0.0","12","0",""
"Brennan Boesch  DH","5","1","2","0","0","0","5",".249",".282",".374",".656","21","13","0.077","0.69","0.111","-0.035","0.5","","","2B"
"Jhonny Peralta  SS","3","0","1","1","1","0","4",".267",".335",".413",".748","18","10","0.005","0.74","0.046","-0.041","0.3","1","3",""
"Alex Avila  C","3","0","1","1","1","0","4",".247",".346",".389",".735","15","8","0.025","0.86","0.100","-0.075","0.6","8","0","GDP"
"Ramon Santiago  2B","1","0","0","0","2","1","4",".221",".304",".304",".608","20","9","0.011","0.53","0.023","-0.013","0.2","1","4","SH"
"Don Kelly  RF","4","0","1","0","0","1","4",".186",".282",".258",".540","11","9","-0.057","0.69","0.018","-0.075","-1.6","2","0","2B"
"","","","","","","","","","","","","","","","","","","","","",""
"Justin Verlander  P","","","","","","","","","","","","","","","","","","","0","1",""
"Jose Valverde  P","","","","","","","","","","","","","","","","","","","0","0",""
