"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Austin Jackson  CF","4","0","3","0","0","0","4",".433",".528",".700","1.228","21","15","0.144","0.91","0.158","-0.013","1.2","4","0","2B"
"Brennan Boesch  RF","4","1","1","1","0","1","4",".257",".257",".343",".600","12","8","-0.172","1.33","0.025","-0.198","-0.8","0","0","HR,CS,GDP"
"Miguel Cabrera  3B","4","0","0","0","0","1","4",".286",".400",".643","1.043","17","11","-0.105","1.01","0.000","-0.105","-0.9","0","2",""
"Prince Fielder  1B","3","0","1","0","1","2","4",".345",".412",".552",".963","20","13","-0.024","0.94","0.029","-0.053","-0.2","8","0",""
"Delmon Young  LF","1","0","0","0","1","1","4",".280",".367",".400",".767","15","5","0.087","1.08","0.106","-0.018","0.6","2","0","2·HBP"
"Alex Avila  C","3","0","0","0","0","1","3",".320",".393",".680","1.073","11","7","-0.192","2.29","0.000","-0.192","-1.5","6","1","GDP"
"Gerald Laird  PH","1","0","0","0","0","0","1",".200",".200",".200",".400","4","3","-0.009","0.35","0.000","-0.009","-0.2","","",""
"Jhonny Peralta  SS","3","0","0","0","1","1","4",".267",".303",".367",".670","16","9","-0.051","0.89","0.011","-0.061","-0.5","0","3",""
"Andy Dirks  DH","2","0","0","0","0","0","3",".300",".333",".450",".783","10","5","-0.007","1.08","0.031","-0.038","0.0","","","HBP"
"Brandon Inge  PH","1","0","0","0","0","0","1",".000",".000",".000",".000","4","4","-0.001","0.05","0.000","-0.001","-0.1","","",""
"Ryan Raburn  2B","3","0","0","0","0","1","3",".080",".115",".080",".195","9","7","-0.099","1.29","0.000","-0.099","-1.0","4","3",""
"","","","","","","","","","","","","","","","","","","","","",""
"Adam Wilk  P","","","","","","","","","","","","","","","","","","","0","1",""
"Collin Balester  P","","","","","","","","","","","","","","","","","","","0","0",""
"Daniel Schlereth  P","","","","","","","","","","","","","","","","","","","0","0",""
