"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Austin Jackson  CF","5","0","0","0","0","2","5",".312",".389",".526",".915","21","15","-0.095","0.78","0.000","-0.095","-1.2","2","0",""
"Brennan Boesch  RF","5","2","4","2","0","1","5",".252",".280",".389",".669","19","17","0.212","0.70","0.228","-0.015","1.9","2","0","HR"
"Miguel Cabrera  3B","5","1","1","0","0","1","5",".313",".367",".536",".903","13","8","0.017","0.78","0.071","-0.053","0.4","1","2",""
"Prince Fielder  1B","4","0","1","0","1","1","5",".314",".384",".500",".884","22","12","-0.046","0.94","0.046","-0.092","-0.6","9","1",""
"Delmon Young  LF","4","2","1","1","0","0","4",".258",".294",".392",".686","10","9","0.048","1.36","0.128","-0.080","0.5","1","0",""
"Joaquin Benoit  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Matt Young  PH","1","0","0","0","0","1","1",".100",".182",".200",".382","5","3","-0.002","0.06","0.000","-0.002","-0.3","","",""
"Jose Valverde  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Jhonny Peralta  SS","4","2","3","2","1","0","5",".267",".347",".417",".765","15","6","0.303","1.04","0.322","-0.020","2.9","1","3","3B,2B"
"Gerald Laird  C","3","1","1","0","1","2","5",".300",".342",".429",".771","22","13","0.131","1.02","0.147","-0.016","1.1","9","0","HBP"
"Ramon Santiago  2B","4","0","0","2","0","1","4",".208",".286",".302",".588","11","9","0.002","1.88","0.062","-0.060","-0.7","1","2",""
"Rick Porcello  P","2","0","0","0","0","1","2",".000",".000",".000",".000","7","7","-0.076","1.38","0.000","-0.076","-0.7","0","1",""
"Don Kelly  PH","1","0","0","0","0","0","1",".179",".281",".218",".499","1","1","-0.038","1.35","0.000","-0.038","-0.3","","",""
"Brayan Villarreal  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Quintin Berry  PH-LF","1","0","1","1","0","0","1",".296",".383",".408",".791","8","5","0.038","0.77","0.038","0.000","0.8","0","0","SB"
