"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jordan Schafer  CF","5","3","3","0","0","1","5",".260",".335",".360",".695","17","9","0.202","1.56","0.274","-0.072","1.9","2","0","3B,SB"
"Jose Altuve  2B","5","1","2","2","0","0","5",".310",".360",".467",".827","11","8","0.025","1.31","0.086","-0.061","0.2","2","4",""
"Jed Lowrie  SS","5","2","2","2","0","1","5",".276",".351",".481",".831","24","16","0.049","0.87","0.105","-0.056","0.8","2","4","HR"
"Carlos Lee  1B","4","1","3","1","0","0","4",".305",".360",".425",".785","10","8","0.092","0.91","0.105","-0.013","0.8","9","0",""
"Chris Johnson  3B","4","0","2","1","0","0","4",".289",".326",".440",".765","11","7","0.139","1.30","0.243","-0.104","1.3","1","4","2B,GDP"
"Fernando Rodriguez  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"Xavier Cedeno  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Brian Bogusevic  RF","4","0","0","0","0","2","4",".212",".303",".292",".595","17","12","-0.148","1.34","0.000","-0.148","-1.2","0","0",""
"J.D. Martinez  LF","3","0","0","0","0","1","4",".224",".331",".354",".685","8","5","-0.029","1.11","0.050","-0.079","-0.4","1","0","HBP"
"Jason Castro  C","3","0","0","0","1","2","4",".216",".309",".320",".629","17","9","-0.088","1.13","0.015","-0.103","-0.5","7","0",""
"Wandy Rodriguez  P","2","0","0","0","0","1","2",".000",".091",".000",".091","8","6","-0.036","0.62","0.000","-0.036","-0.4","0","0",""
"Justin Maxwell  PH","1","0","0","0","0","0","1",".190",".288",".317",".605","4","3","-0.018","0.68","0.000","-0.018","-0.1","","",""
"Brandon Lyon  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Wesley Wright  P","0","0","0","0","0","0","0",".000",".000",".000",".000","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Matt Downs  3B","1","0","0","0","0","0","1",".148",".200",".361",".561","2","2","-0.053","1.83","0.000","-0.053","-0.3","0","0",""
