"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jordan Schafer  CF","5","1","4","0","0","0","5",".262",".352",".346",".698","14","11","0.075","1.42","0.217","-0.141","1.2","2","0","2·2B,CS"
"Jose Altuve  2B","5","0","0","0","0","0","5",".333",".377",".492",".869","19","11","-0.162","1.26","0.000","-0.162","-1.0","5","3",""
"Jed Lowrie  SS","5","0","1","0","0","0","5",".301",".387",".473",".860","16","9","-0.086","1.71","0.074","-0.160","-0.4","2","3",""
"Carlos Lee  1B","3","0","1","0","1","1","4",".274",".347",".387",".734","24","15","0.311","1.32","0.349","-0.038","0.8","11","3","3B"
"Marwin Gonzalez  PR","0","1","0","0","0","0","0",".238",".256",".310",".565","","","0.000","0.00","0.000","0.000","0.0","","",""
"Jason Castro  C","1","0","0","0","0","1","1",".227",".282",".288",".570","4","3","-0.076","3.21","0.000","-0.076","-0.3","4","0",""
"Travis Buck  LF","5","0","0","0","0","3","5",".271",".340",".396",".735","22","16","-0.460","2.50","0.000","-0.460","-1.9","2","0","GDP"
"Chris Johnson  3B","3","1","1","1","2","0","5",".295",".331",".473",".804","14","6","0.058","2.24","0.168","-0.110","0.8","0","1","HR"
"Brian Bogusevic  RF","5","0","1","1","0","2","5",".228",".336",".348",".684","26","18","0.292","2.39","0.414","-0.122","0.2","2","0",""
"Chris Snyder  C","3","0","0","0","0","0","3",".133",".235",".200",".435","12","5","-0.067","0.89","0.000","-0.067","-0.4","6","1",""
"Matt Downs  PH-1B","2","0","0","0","0","0","2",".175",".214",".425",".639","4","3","-0.137","2.73","0.000","-0.137","-0.6","0","2",""
"Lucas Harrell  P","2","0","0","0","0","2","2",".250",".250",".250",".500","9","7","-0.044","0.88","0.000","-0.044","-0.4","1","2",""
"Wilton Lopez  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Wesley Wright  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Fernando Rodriguez  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","1","1",""
"Justin Maxwell  PH","1","0","0","0","0","0","1",".303",".351",".455",".806","10","7","-0.062","2.46","0.000","-0.062","-0.2","","",""
"Rhiner Cruz  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"Brett Myers  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"J.D. Martinez  PH","1","0","0","0","0","1","1",".230",".353",".360",".713","5","3","-0.056","2.23","0.000","-0.056","-0.2","","",""
"David Carpenter  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"J.A. Happ  PH","1","0","0","0","0","1","1",".182",".308",".182",".490","5","3","-0.014","0.53","0.000","-0.014","-0.1","","",""
