"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jose Altuve  2B","4","0","0","0","0","0","4",".299",".353",".414",".767","9","7","-0.121","1.23","0.000","-0.121","-0.8","2","1",""
"Fernando Martinez  LF","4","0","1","0","0","0","4",".163",".180",".306",".486","17","13","-0.035","0.85","0.030","-0.065","-0.1","3","0",""
"Brett Wallace  1B","4","0","0","0","0","0","4",".277",".354",".482",".836","19","11","-0.081","0.98","0.000","-0.081","-0.6","5","0",""
"Scott Moore  3B","3","1","0","0","0","1","4",".221",".284",".414",".698","15","10","0.040","1.52","0.124","-0.084","0.2","0","0","HBP"
"Tyler Greene  SS","4","0","1","0","0","1","4",".231",".276",".396",".671","13","10","0.085","1.17","0.142","-0.057","0.5","2","4",""
"Jason Castro  C","3","0","1","0","0","0","3",".258",".330",".366",".696","9","5","-0.077","1.56","0.036","-0.113","-0.5","7","1",""
"Brandon Barnes  CF","2","0","1","0","1","0","3",".200",".243",".314",".558","11","6","0.067","1.73","0.091","-0.024","0.4","4","1",""
"Brian Bogusevic  RF","3","0","1","0","0","0","3",".210",".300",".304",".604","9","7","-0.096","2.51","0.090","-0.186","-0.3","1","0","GDP"
"Hector Ambriz  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Fernando Rodriguez  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Xavier Cedeno  P","0","0","0","0","0","0","0",".000",".000",".000",".000","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Fernando Abad  P","1","0","0","0","0","1","1",".000",".000",".000",".000","4","3","-0.011","0.45","0.000","-0.011","-0.1","0","0",""
"Steve Pearce  PH","1","0","0","0","0","0","1",".254",".333",".396",".729","3","3","-0.216","3.96","0.000","-0.216","-1.5","","","GDP"
"Mickey Storey  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Ben Francisco  RF","1","0","0","0","0","0","1",".244",".293",".374",".667","5","4","-0.053","2.13","0.000","-0.053","-0.2","0","0",""
