"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jose Altuve  2B","4","0","0","0","0","0","4",".290",".333",".419",".753","9","5","-0.043","0.43","0.000","-0.043","-0.7","1","2",""
"Marwin Gonzalez  SS","4","0","0","0","0","0","4",".294",".326",".388",".714","11","10","-0.007","0.48","0.024","-0.032","-0.2","0","5",""
"Justin Maxwell  CF","4","1","2","0","0","0","4",".225",".312",".442",".754","10","6","0.020","0.51","0.039","-0.019","0.3","4","0",""
"J.D. Martinez  LF","4","1","2","0","0","0","4",".243",".316",".393",".709","13","9","-0.068","0.69","0.020","-0.088","-0.7","3","0","GDP"
"Matt Downs  1B","4","2","3","4","0","0","4",".191",".238",".409",".646","13","9","0.015","0.78","0.105","-0.089","3.2","8","1","2·HR,CS"
"Chris Johnson  3B","3","0","0","0","0","0","3",".261",".312",".386",".698","13","10","-0.032","0.45","0.000","-0.032","-0.4","0","0",""
"Brandon Lyon  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Rhiner Cruz  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Carlos Corporan  PH","1","0","1","0","0","0","1",".167",".167",".167",".333","5","3","0.008","0.19","0.008","0.000","0.2","","",""
"Chris Snyder  C","4","0","0","0","0","0","4",".182",".300",".307",".607","12","9","-0.037","0.37","0.000","-0.037","-0.7","5","0",""
"Brian Bixler  RF","3","0","1","0","0","1","3",".224",".280",".382",".662","10","7","-0.024","0.47","0.007","-0.031","-0.1","2","0","2B"
"Jordan Schafer  PH","0","0","0","0","1","0","1",".230",".311",".312",".624","8","4","0.007","0.20","0.007","0.000","0.2","","",""
"Wandy Rodriguez  P","1","0","0","0","0","0","1",".000",".079",".000",".079","3","3","-0.016","0.70","0.000","-0.016","-0.1","1","0",""
"Brian Bogusevic  PH","1","0","0","0","0","1","1",".218",".304",".335",".639","4","3","-0.011","0.38","0.000","-0.011","-0.3","","",""
"Enerio Del Rosario  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Scott Moore  3B","2","0","0","0","0","1","2",".235",".268",".451",".719","10","7","-0.013","0.27","0.000","-0.013","-0.5","0","0",""
