"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jordan Schafer  CF","5","0","1","0","0","2","6",".235",".310",".319",".630","15","10","-0.199","1.84","0.027","-0.226","-0.8","2","0","SH"
"Jose Altuve  2B","5","0","1","0","0","1","5",".298",".338",".429",".768","18","12","-0.147","1.39","0.014","-0.161","-0.9","1","6",""
"Jed Lowrie  SS","2","0","0","0","0","0","2",".253",".343",".456",".799","10","7","-0.034","0.66","0.000","-0.034","-0.3","0","0",""
"Brian Bixler  SS","3","0","0","0","0","3","3",".225",".286",".380",".666","13","9","-0.103","1.36","0.000","-0.103","-0.6","0","2",""
"J.D. Martinez  LF","5","0","1","0","0","1","5",".240",".316",".394",".710","17","11","-0.097","1.32","0.039","-0.136","-0.4","4","0",""
"Scott Moore  1B","4","1","0","0","1","2","5",".275",".293",".550",".843","23","12","-0.063","1.10","0.045","-0.108","-0.4","14","0",""
"Chris Johnson  3B","5","0","1","0","0","1","5",".270",".315",".396",".711","22","13","-0.076","1.22","0.039","-0.115","-0.3","0","1",""
"Justin Maxwell  RF","4","1","1","1","0","2","4",".227",".320",".461",".781","10","8","-0.020","1.32","0.074","-0.095","0.3","3","0","2B"
"Wilton Lopez  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Fernando Rodriguez  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Bud Norris  PH","1","0","0","0","0","0","1",".154",".179",".192",".371","5","3","-0.053","2.21","0.000","-0.053","-0.2","","",""
"Brett Myers  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Chris Snyder  C","4","0","0","0","1","3","5",".192",".309",".323",".632","20","12","0.270","1.73","0.364","-0.094","0.5","9","0",""
"Lucas Harrell  P","2","0","0","0","0","1","2",".212",".212",".212",".424","5","4","-0.060","1.30","0.000","-0.060","-0.5","0","1",""
"Fernando Abad  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"Brandon Lyon  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Brian Bogusevic  PH","1","0","1","0","0","0","1",".220",".302",".337",".639","9","6","0.065","1.34","0.065","0.000","0.4","","",""
"Enerio Del Rosario  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Matt Downs  PH-RF","2","0","1","0","0","0","2",".171",".220",".342",".563","8","6","0.010","1.84","0.068","-0.058","0.0","0","0","SB"
