"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jose Altuve  2B","4","0","1","0","0","1","4",".290",".339",".394",".733","14","11","0.012","0.69","0.061","-0.049","0.1","1","3","2B"
"Scott Moore  LF","3","0","0","0","1","1","4",".238",".318",".429",".746","16","9","-0.025","0.85","0.045","-0.070","-0.4","2","0",""
"Brett Wallace  1B","4","0","1","0","0","1","4",".262",".327",".424",".751","17","11","-0.082","0.95","0.007","-0.089","-0.5","9","0",""
"Justin Maxwell  CF","4","0","0","0","0","3","4",".234",".306",".464",".770","22","15","-0.079","0.79","0.000","-0.079","-1.0","1","0",""
"Jed Lowrie  SS","4","0","1","0","0","0","4",".252",".339",".446",".785","13","10","-0.014","0.72","0.031","-0.045","0.1","1","2",""
"Brandon Laird  3B","4","0","2","0","0","1","4",".267",".313",".533",".846","21","14","-0.009","0.89","0.056","-0.065","0.5","0","2","2B"
"Chris Snyder  C","4","0","0","0","0","1","4",".184",".302",".321",".623","11","9","-0.086","0.88","0.000","-0.086","-1.4","9","2",""
"Jimmy Paredes  RF","3","0","0","0","1","2","4",".206",".257",".254",".511","18","11","-0.035","0.71","0.025","-0.060","-1.0","1","0",""
"Lucas Harrell  P","1","0","0","0","0","0","2",".161",".175",".161",".336","5","3","-0.037","0.91","0.000","-0.037","-0.3","0","1","SH"
"Hector Ambriz  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Jason Castro  PH","1","0","0","0","0","1","1",".260",".342",".368",".710","6","4","-0.021","0.82","0.000","-0.021","-0.2","","",""
"Mickey Storey  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"C.J. Fick  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
