"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Lorenzo Cain  CF","5","2","2","3","0","2","5",".256",".306",".407",".713","19","11","0.415","1.37","0.491","-0.076","1.8","0","0","2·HR"
"Alcides Escobar  SS","4","0","2","0","1","0","5",".292",".332",".388",".721","14","8","0.052","0.71","0.083","-0.031","0.6","0","2",""
"Alex Gordon  LF","5","0","2","0","0","1","5",".298",".367",".454",".821","20","12","-0.027","0.92","0.051","-0.078","-0.3","2","0","2B"
"Billy Butler  DH","5","1","1","0","0","0","5",".309",".372",".503",".875","18","13","-0.116","1.30","0.039","-0.155","-1.3","","","GDP"
"Salvador Perez  C","3","2","2","2","1","0","4",".313",".341",".512",".853","11","6","0.213","1.32","0.255","-0.042","2.2","10","1","HR"
"Mike Moustakas  3B","3","1","0","0","1","0","4",".251",".304",".433",".738","15","7","-0.025","1.56","0.077","-0.102","-0.2","1","6",""
"Jeff Francoeur  RF","4","0","1","1","0","2","4",".233",".287",".363",".650","15","12","0.073","1.45","0.176","-0.104","0.6","1","0","2B,GDP"
"Eric Hosmer  1B","2","0","0","1","1","1","4",".242",".313",".374",".686","13","6","-0.056","0.98","0.012","-0.068","-0.5","9","0","SF"
"Johnny Giavotella  2B","4","1","1","0","0","1","4",".230",".260",".286",".545","13","10","0.015","1.23","0.082","-0.066","-0.3","4","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Luis Mendoza  P","","","","","","","","","","","","","","","","","","","0","0",""
"Tim Collins  P","","","","","","","","","","","","","","","","","","","0","1",""
"Aaron Crow  P","","","","","","","","","","","","","","","","","","","0","0",""
"Kelvin Herrera  P","","","","","","","","","","","","","","","","","","","0","1",""
"Greg Holland  P","","","","","","","","","","","","","","","","","","","0","0",""
