"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Mike Trout  CF-LF","4","3","3","0","0","0","5",".340",".398",".544",".942","16","8","0.116","0.74","0.124","-0.008","1.6","2","0","2·SB,HBP"
"Torii Hunter  RF","5","2","3","6","0","1","5",".250",".327",".439",".766","22","16","0.279","0.74","0.326","-0.046","4.4","4","1","2·HR"
"Albert Pujols  3B-1B","5","0","2","1","0","0","5",".248",".302",".417",".719","13","9","-0.029","0.45","0.023","-0.051","0.4","1","1","2·2B"
"Kendrys Morales  1B","3","0","1","0","0","1","4",".294",".333",".453",".786","14","9","-0.023","0.64","0.016","-0.039","-0.1","7","0","HBP"
"Alberto Callaspo  PR-3B","1","0","0","0","0","0","1",".232",".289",".297",".586","6","4","-0.001","0.03","0.000","-0.001","-0.6","0","0",""
"Mark Trumbo  LF","4","0","0","0","0","1","4",".330",".379",".615",".994","15","12","-0.083","0.71","0.000","-0.083","-1.4","0","0","GDP"
"Peter Bourjos  CF","0","0","0","0","0","0","0",".219",".276",".281",".557","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Howie Kendrick  2B","4","0","1","0","0","1","4",".254",".284",".366",".650","12","9","-0.049","0.60","0.028","-0.077","-1.0","1","2","CS"
"Erick Aybar  SS","4","0","1","0","0","0","4",".220",".254",".285",".539","19","13","0.013","0.34","0.034","-0.021","-0.0","1","2","2B"
"John Hester  C","4","1","1","0","0","2","4",".308",".400",".462",".862","18","10","-0.053","0.55","0.002","-0.056","-0.6","11","0",""
"C.J. Wilson  P","3","0","0","0","0","1","3",".000",".000",".000",".000","5","5","-0.062","0.76","0.000","-0.062","-0.8","0","3",""
"Maicer Izturis  PH","0","1","0","0","1","0","1",".230",".324",".262",".586","6","2","0.004","0.11","0.004","0.000","0.2","","",""
"Jordan Walden  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
