"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Mike Trout  LF","4","1","1","1","0","2","4",".352",".404",".590",".994","18","13","-0.021","0.63","0.035","-0.056","0.3","1","0","HR"
"Erick Aybar  SS","4","0","0","0","0","0","4",".258",".295",".370",".665","13","10","-0.063","0.61","0.000","-0.063","-0.8","1","3",""
"Albert Pujols  DH","3","0","0","0","1","0","4",".276",".345",".485",".830","20","11","-0.010","0.39","0.019","-0.029","-0.1","","",""
"Mark Trumbo  RF","4","0","0","0","0","2","4",".305",".357",".622",".979","15","12","-0.064","0.62","0.000","-0.064","-0.9","3","0",""
"Kendrys Morales  1B","3","0","0","0","1","2","4",".278",".325",".419",".744","17","8","-0.010","0.50","0.026","-0.036","-0.4","6","0",""
"Alberto Callaspo  3B","3","0","1","0","1","0","4",".250",".321",".371",".692","12","6","0.002","0.58","0.057","-0.055","0.2","0","2","2B,GDP"
"Maicer Izturis  2B","2","0","1","0","1","0","3",".231",".316",".290",".606","17","8","0.045","0.93","0.067","-0.022","0.6","1","2",""
"Peter Bourjos  CF","3","0","0","0","0","2","3",".237",".292",".353",".645","11","10","-0.100","1.29","0.000","-0.100","-1.4","5","0",""
"Bobby Wilson  C","2","0","0","0","0","1","2",".200",".265",".225",".490","5","5","-0.058","1.14","0.000","-0.058","-0.8","3","0",""
"Kole Calhoun  PH","1","0","0","0","0","1","1",".214",".313",".286",".598","5","3","-0.017","0.59","0.000","-0.017","-0.4","","",""
"John Hester  C","0","0","0","0","0","0","0",".220",".289",".341",".630","","","0.000","0.00","0.000","0.000","0.0","4","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jerome Williams  P","","","","","","","","","","","","","","","","","","","0","1",""
"Hisanori Takahashi  P","","","","","","","","","","","","","","","","","","","0","0",""
"LaTroy Hawkins  P","","","","","","","","","","","","","","","","","","","0","0",""
"Ernesto Frieri  P","","","","","","","","","","","","","","","","","","","0","0",""
