"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Mike Trout  CF-LF","4","1","2","0","0","0","4",".344",".398",".565",".963","10","6","0.030","0.72","0.079","-0.049","0.7","2","0","2B,2·SB"
"Torii Hunter  RF","4","0","0","0","0","1","4",".266",".329",".421",".749","15","10","-0.090","0.77","0.000","-0.090","-1.1","2","0",""
"Albert Pujols  1B","4","1","2","1","0","1","4",".271",".336",".464",".800","16","10","0.070","1.04","0.110","-0.040","0.8","8","0","2B"
"Kendrys Morales  DH","3","1","0","0","0","0","4",".285",".326",".426",".752","15","9","0.049","1.23","0.104","-0.055","-0.2","","","HBP"
"Mark Trumbo  LF","4","1","2","3","0","0","4",".308",".360",".616",".976","11","8","0.291","1.26","0.359","-0.068","1.4","0","0","HR,CS"
"Peter Bourjos  CF","0","0","0","0","0","0","0",".230",".291",".349",".640","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Alberto Callaspo  3B","3","0","0","0","1","2","4",".255",".329",".368",".697","15","7","-0.134","1.45","0.052","-0.185","-0.8","1","7","CS"
"Howie Kendrick  2B","4","0","2","0","0","0","4",".279",".316",".387",".703","15","10","-0.016","1.47","0.112","-0.128","0.0","2","2","2B"
"Erick Aybar  SS","4","1","1","1","0","2","4",".263",".297",".373",".670","13","11","-0.018","1.51","0.115","-0.133","0.2","2","1","HR"
"John Hester  C","3","0","0","0","0","1","3",".218",".282",".346",".629","11","7","-0.078","0.99","0.000","-0.078","-0.7","7","0",""
"Maicer Izturis  PH","0","0","0","0","0","0","0",".229",".309",".268",".576","","","0.000","0.00","0.000","0.000","0.0","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"C.J. Wilson  P","","","","","","","","","","","","","","","","","","","0","0",""
"Scott Downs  P","","","","","","","","","","","","","","","","","","","0","0",""
"Kevin Jepsen  P","","","","","","","","","","","","","","","","","","","0","0",""
