"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Mike Trout  CF-LF","4","3","2","1","1","1","5",".339",".395",".542",".938","31","19","0.273","0.85","0.308","-0.036","1.7","2","0","HR,2B"
"Torii Hunter  RF","4","0","0","1","0","1","5",".276",".343",".434",".777","26","16","-0.110","0.76","0.002","-0.112","-1.4","2","1","SF"
"Albert Pujols  1B","5","2","2","1","0","2","5",".271",".331",".458",".789","22","12","0.045","0.54","0.076","-0.031","1.3","7","0",""
"Mark Trumbo  LF","4","1","1","2","0","0","4",".312",".361",".620",".981","12","9","0.144","0.61","0.175","-0.032","1.4","1","1","HR"
"Peter Bourjos  CF","1","0","1","1","0","0","1",".244",".295",".370",".665","4","3","0.003","0.07","0.003","0.000","1.0","0","0",""
"Kendrys Morales  DH","5","0","1","1","0","1","5",".279",".322",".428",".750","20","11","-0.044","0.48","0.013","-0.057","-0.1","","","2B"
"Howie Kendrick  2B","5","1","3","0","0","0","5",".279",".312",".382",".694","14","10","0.038","0.53","0.064","-0.025","0.3","3","1",""
"Alberto Callaspo  3B","5","1","1","2","0","1","5",".258",".326",".384",".710","20","12","0.110","0.72","0.162","-0.052","1.2","1","1","HR"
"Erick Aybar  SS","4","1","2","0","1","0","5",".258",".294",".347",".641","13","9","0.073","0.48","0.086","-0.012","0.2","2","3","2B"
"John Hester  C","4","1","0","0","0","1","4",".270",".343",".429",".771","12","7","-0.084","0.90","0.014","-0.098","-0.1","8","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"C.J. Wilson  P","","","","","","","","","","","","","","","","","","","1","1",""
"LaTroy Hawkins  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jason Isringhausen  P","","","","","","","","","","","","","","","","","","","0","0",""
"Ernesto Frieri  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jordan Walden  P","","","","","","","","","","","","","","","","","","","0","0",""
