"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Denard Span  CF","4","2","1","0","1","0","5",".290",".350",".401",".751","15","8","-0.007","0.77","0.069","-0.076","0.1","5","0","2B,SB"
"Jamey Carroll  2B","5","1","3","0","0","0","5",".261",".338",".310",".648","14","9","0.009","0.79","0.053","-0.044","0.1","1","3","2B"
"Joe Mauer  DH","4","1","1","1","1","1","5",".324",".419",".457",".876","23","13","0.138","1.02","0.183","-0.044","0.7","","",""
"Josh Willingham  LF","5","1","4","4","0","0","5",".262",".369",".532",".901","19","12","0.395","1.08","0.401","-0.007","3.4","2","0","HR"
"Matt Carson  LF","0","0","0","0","0","0","0",".244",".273",".268",".541","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Justin Morneau  1B","4","1","0","0","1","2","5",".274",".338",".458",".796","23","12","-0.124","0.91","0.018","-0.142","-1.5","9","0","GDP"
"Chris Parmelee  RF","5","0","1","0","0","1","5",".238",".300",".390",".690","20","12","-0.033","0.65","0.025","-0.059","-0.4","0","0",""
"Ben Revere  RF","0","0","0","0","0","0","0",".293",".333",".344",".676","","","0.000","0.00","0.000","0.000","0.0","2","0",""
"Trevor Plouffe  3B","4","0","2","0","0","0","4",".235",".303",".456",".760","17","11","0.066","0.89","0.086","-0.020","0.7","1","3","SB"
"Chris Herrmann  C","4","0","0","1","0","2","4",".000",".000",".000",".000","17","13","-0.031","0.95","0.016","-0.047","-0.5","6","0",""
"Pedro Florimon  SS","3","0","0","0","1","0","4",".235",".292",".327",".619","15","7","-0.043","0.88","0.011","-0.054","-0.8","1","3",""
"","","","","","","","","","","","","","","","","","","","","",""
"Liam Hendriks  P","","","","","","","","","","","","","","","","","","","0","0",""
"Alex Burnett  P","","","","","","","","","","","","","","","","","","","0","0",""
"Tyler Robertson  P","","","","","","","","","","","","","","","","","","","0","0",""
"Glen Perkins  P","","","","","","","","","","","","","","","","","","","0","0",""
