"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Denard Span  CF","5","0","1","1","0","2","5",".275",".340",".378",".718","21","15","-0.050","0.52","0.009","-0.059","-0.6","2","0","2B"
"Ben Revere  RF","3","1","1","0","1","1","4",".311",".344",".366",".711","12","7","0.012","0.53","0.036","-0.024","0.2","2","0",""
"Joe Mauer  1B","2","1","0","0","2","0","4",".332",".421",".460",".881","21","12","0.059","0.66","0.068","-0.009","0.1","9","1","GDP"
"Josh Willingham  LF","4","0","0","0","0","1","4",".275",".389",".560",".948","13","9","-0.098","0.84","0.000","-0.098","-1.4","3","0",""
"Ryan Doumit  DH","4","3","3","4","0","1","4",".291",".342",".470",".812","15","11","0.305","0.99","0.306","-0.001","3.7","","","2·HR"
"Brian Dozier  SS","4","0","1","2","0","0","4",".235",".265",".328",".593","19","13","0.076","0.54","0.101","-0.025","1.1","2","2","2B"
"Alexi Casilla  2B","4","0","0","0","0","2","4",".224",".260",".286",".546","16","12","-0.030","0.28","0.000","-0.030","-0.9","2","4",""
"Drew Butera  C","4","0","0","0","0","2","4",".222",".273",".333",".606","21","12","-0.019","0.19","0.000","-0.019","-0.6","6","1",""
"Jamey Carroll  3B","3","2","2","0","1","0","4",".241",".323",".287",".610","21","12","0.035","0.29","0.039","-0.004","0.7","0","4",""
"","","","","","","","","","","","","","","","","","","","","",""
"Sam Deduno  P","","","","","","","","","","","","","","","","","","","1","0",""
"Tyler Robertson  P","","","","","","","","","","","","","","","","","","","0","0",""
"Anthony Swarzak  P","","","","","","","","","","","","","","","","","","","0","0",""
"Glen Perkins  P","","","","","","","","","","","","","","","","","","","0","0",""
