"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Denard Span  CF","5","0","1","0","0","1","5",".274",".340",".381",".721","24","14","-0.134","1.43","0.035","-0.169","-0.6","1","0",""
"Ben Revere  RF","5","0","1","0","0","0","5",".320",".355",".369",".724","14","11","-0.037","1.69","0.117","-0.153","-1.0","4","0","SB,CS"
"Joe Mauer  C","2","0","0","0","3","0","5",".326",".417",".452",".869","26","11","-0.037","1.34","0.074","-0.111","-0.0","6","1",""
"Josh Willingham  LF","4","1","1","1","1","2","5",".265",".377",".544",".921","24","15","0.060","1.89","0.230","-0.170","0.5","2","0","HR"
"Justin Morneau  1B","4","1","2","0","0","0","4",".247",".311",".445",".757","15","10","-0.125","1.58","0.073","-0.198","-0.3","8","0","GDP"
"Ryan Doumit  DH","4","1","2","0","0","2","4",".285",".344",".456",".800","16","12","0.226","1.45","0.273","-0.048","1.2","","","2·2B"
"Darin Mastroianni  PR","0","0","0","0","0","0","0",".269",".355",".358",".713","","","0.018","3.68","0.018","0.000","0.0","","","SB"
"Trevor Plouffe  3B","4","0","1","1","0","0","4",".250",".324",".549",".873","14","12","-0.084","1.69","0.060","-0.144","-0.4","0","3",""
"Brian Dozier  SS","4","0","1","1","0","1","4",".240",".266",".332",".598","11","7","-0.196","1.93","0.051","-0.248","-0.9","3","3","GDP"
"Jamey Carroll  2B","4","0","1","0","0","1","4",".238",".320",".283",".603","15","9","-0.155","1.83","0.041","-0.196","-1.0","2","1","2B"
"","","","","","","","","","","","","","","","","","","","","",""
"Sam Deduno  P","","","","","","","","","","","","","","","","","","","1","3",""
"Jeff Gray  P","","","","","","","","","","","","","","","","","","","0","1",""
"Tyler Robertson  P","","","","","","","","","","","","","","","","","","","0","0",""
"Alex Burnett  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jared Burton  P","","","","","","","","","","","","","","","","","","","0","0",""
"Kyle Waldrop  P","","","","","","","","","","","","","","","","","","","0","0",""
