"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Derek Jeter  SS","4","0","0","0","0","0","4",".390",".425",".585","1.010","14","10","-0.161","1.55","0.000","-0.161","-1.6","4","2",""
"Curtis Granderson  CF","4","0","2","0","0","2","4",".279",".385",".596",".981","13","8","0.056","0.69","0.090","-0.034","0.9","2","0","2·2B"
"Alex Rodriguez  DH","3","0","0","0","1","1","4",".260",".368",".400",".768","24","13","-0.119","0.81","0.014","-0.134","-1.4","","",""
"Robinson Cano  2B","4","0","1","0","0","0","4",".255",".303",".355",".657","12","7","-0.054","0.70","0.013","-0.067","-0.7","0","3",""
"Mark Teixeira  1B","4","0","0","0","0","2","4",".229",".265",".390",".656","17","13","-0.077","0.72","0.000","-0.077","-1.0","9","0",""
"Raul Ibanez  LF","4","0","1","0","0","0","4",".239",".288",".418",".706","18","11","0.004","0.47","0.033","-0.028","-0.3","2","0",""
"Russell Martin  C","4","1","3","1","0","1","4",".206",".349",".368",".717","15","9","0.056","0.71","0.081","-0.025","1.6","3","1","HR,2B"
"Dewayne Wise  RF","3","0","0","0","0","1","3",".250",".250",".500",".750","10","8","-0.085","1.21","0.000","-0.085","-0.8","3","0",""
"Andruw Jones  PH","1","0","0","0","0","1","1",".222",".308",".422",".730","4","3","-0.012","0.43","0.000","-0.012","-0.4","","",""
"Eduardo Nunez  3B","3","0","1","0","1","1","4",".261",".321",".348",".669","18","10","0.038","0.71","0.053","-0.015","0.1","1","2","2B"
"","","","","","","","","","","","","","","","","","","","","",""
"Hiroki Kuroda  P","","","","","","","","","","","","","","","","","","","0","0",""
"Clay Rapada  P","","","","","","","","","","","","","","","","","","","0","0",""
"Cody Eppley  P","","","","","","","","","","","","","","","","","","","0","0",""
"Boone Logan  P","","","","","","","","","","","","","","","","","","","0","0",""
"Freddy Garcia  P","","","","","","","","","","","","","","","","","","","0","0",""
