"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Derek Jeter  DH","4","1","2","0","0","0","4",".320",".361",".424",".785","13","7","0.021","1.00","0.075","-0.054","0.2","","",""
"Nick Swisher  RF","4","1","1","2","0","0","4",".264",".345",".469",".814","16","10","0.205","1.33","0.286","-0.081","1.0","2","0","HR"
"Mark Teixeira  1B","4","1","2","1","0","0","4",".260",".340",".498",".837","15","8","0.035","0.70","0.084","-0.050","0.8","15","1","HR,2B"
"Robinson Cano  2B","3","0","0","0","1","0","4",".311",".372",".551",".923","22","11","-0.032","0.71","0.010","-0.042","-0.4","1","8",""
"Andruw Jones  LF","3","0","0","0","1","0","4",".213",".297",".455",".752","12","6","-0.028","1.05","0.032","-0.061","-0.3","0","0",""
"Ichiro Suzuki  LF","0","0","0","0","0","0","0",".263",".290",".360",".650","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Curtis Granderson  CF","4","0","0","0","0","2","4",".236",".330",".480",".810","13","10","-0.125","1.23","0.000","-0.125","-1.4","1","0",""
"Casey McGehee  3B","4","0","2","0","0","1","4",".234",".302",".392",".693","16","10","0.071","0.56","0.073","-0.002","0.5","0","1",""
"Russell Martin  C","3","0","1","0","1","0","4",".199",".313",".369",".683","12","5","-0.054","0.96","0.022","-0.076","-0.3","5","0",""
"Jayson Nix  SS","4","0","0","0","0","1","4",".252",".295",".435",".730","20","13","-0.121","1.20","0.000","-0.121","-1.2","1","5",""
"","","","","","","","","","","","","","","","","","","","","",""
"Hiroki Kuroda  P","","","","","","","","","","","","","","","","","","","1","1",""
