"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Derek Jeter  SS","5","0","1","0","0","1","5",".309",".353",".409",".762","17","13","-0.041","0.78","0.036","-0.078","-0.6","1","1",""
"Curtis Granderson  CF","4","0","0","0","0","3","4",".246",".347",".503",".849","20","14","-0.098","1.01","0.000","-0.098","-1.0","1","0",""
"Alex Rodriguez  3B","4","2","2","1","0","0","4",".274",".354",".449",".802","12","9","0.058","0.68","0.115","-0.057","0.8","0","2","HR,2B,GDP"
"Robinson Cano  2B","3","1","1","0","1","0","4",".318",".377",".575",".952","13","7","0.023","0.85","0.051","-0.029","0.2","2","4",""
"Mark Teixeira  1B","4","1","3","1","0","0","4",".263",".345",".506",".851","15","8","0.206","1.10","0.229","-0.023","1.8","9","0","2·2B"
"Raul Ibanez  DH","3","0","1","1","1","0","4",".242",".301",".448",".749","15","10","0.058","1.08","0.117","-0.060","0.4","","","GDP"
"Andruw Jones  LF","4","0","1","1","0","1","4",".230",".303",".500",".803","16","11","-0.024","1.17","0.070","-0.094","-0.7","0","0","GDP"
"Ichiro Suzuki  RF","4","0","1","0","0","0","4",".261",".288",".352",".640","12","9","-0.001","0.83","0.048","-0.048","-0.5","2","0","SB"
"Russell Martin  C","4","0","1","0","0","1","4",".181",".296",".358",".654","16","10","-0.041","0.78","0.027","-0.068","-0.5","12","0","SB"
"","","","","","","","","","","","","","","","","","","","","",""
"Hiroki Kuroda  P","","","","","","","","","","","","","","","","","","","0","2",""
"David Robertson  P","","","","","","","","","","","","","","","","","","","0","0",""
"Rafael Soriano  P","","","","","","","","","","","","","","","","","","","0","0",""
