"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jemile Weeks  2B","4","0","0","0","0","1","5",".198",".276",".298",".574","18","11","-0.033","0.63","0.026","-0.059","-0.6","1","3","HBP"
"Cliff Pennington  SS","4","1","1","0","1","0","5",".212",".268",".295",".563","25","12","0.073","0.62","0.093","-0.020","0.7","3","5",""
"Josh Reddick  RF","4","2","1","1","1","0","5",".289",".340",".549",".889","16","9","0.033","0.68","0.119","-0.086","0.2","0","0","HR,GDP,IW"
"Jonny Gomes  DH","3","0","0","0","2","1","5",".236",".375",".472",".847","25","12","-0.072","0.53","0.003","-0.075","-0.8","","",""
"Seth Smith  LF","5","1","2","2","0","1","5",".253",".395",".396",".790","13","10","0.150","0.79","0.175","-0.026","1.9","0","0","2·2B"
"Josh Donaldson  3B","3","1","1","1","0","0","4",".105",".103",".132",".234","17","10","-0.003","0.68","0.038","-0.042","-0.2","0","2","2B,SF"
"Daric Barton  1B","2","0","0","0","2","1","4",".182",".308",".286",".593","22","11","0.004","0.33","0.020","-0.016","-0.4","15","1",""
"Kurt Suzuki  C","4","0","2","1","0","1","4",".227",".259",".291",".550","11","8","-0.003","0.37","0.024","-0.027","0.4","6","0","SB"
"Collin Cowgill  CF","4","0","1","0","0","1","4",".111",".273",".111",".384","10","8","0.013","0.70","0.051","-0.038","-0.3","2","0","SB"
"","","","","","","","","","","","","","","","","","","","","",""
"Tyson Ross  P","","","","","","","","","","","","","","","","","","","0","2",""
"Grant Balfour  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jordan Norberto  P","","","","","","","","","","","","","","","","","","","0","0",""
"Ryan Cook  P","","","","","","","","","","","","","","","","","","","0","0",""
