"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Coco Crisp  CF","4","0","0","0","0","1","4",".253",".314",".362",".676","11","8","-0.055","0.52","0.000","-0.055","-0.8","3","0",""
"Jonny Gomes  LF","1","0","0","0","0","1","1",".260",".383",".468",".851","3","3","-0.001","0.02","0.000","-0.001","-0.5","0","0",""
"Jemile Weeks  2B","5","2","3","0","0","1","5",".221",".307",".303",".610","30","19","0.081","0.70","0.101","-0.020","0.5","0","1","SB"
"Seth Smith  RF","4","0","1","0","0","0","4",".251",".353",".452",".805","17","11","-0.052","0.79","0.016","-0.069","-0.7","3","0","GDP"
"Yoenis Cespedes  LF-CF","4","2","2","3","0","1","4",".302",".361",".541",".902","15","10","0.128","0.85","0.167","-0.039","2.1","5","0","HR,3B"
"Chris Carter  DH","4","1","1","2","0","2","4",".268",".379",".714","1.093","14","9","0.052","0.46","0.084","-0.032","0.8","","","HR"
"Brandon Moss  1B","3","0","0","0","1","2","4",".246",".323",".588",".911","14","8","-0.001","0.23","0.013","-0.013","-0.5","5","0",""
"Brandon Inge  3B","4","0","1","0","0","3","4",".206",".259",".385",".644","21","14","-0.043","0.41","0.000","-0.044","-0.2","1","1",""
"Kurt Suzuki  C","4","1","1","0","0","0","4",".213",".247",".277",".524","14","8","0.004","0.41","0.033","-0.029","-0.4","9","0","2B"
"Eric Sogard  SS","4","0","2","1","0","1","4",".171",".209",".280",".490","11","9","0.061","0.45","0.081","-0.020","1.1","1","2",""
"","","","","","","","","","","","","","","","","","","","","",""
"Bartolo Colon  P","","","","","","","","","","","","","","","","","","","0","1",""
"Jordan Norberto  P","","","","","","","","","","","","","","","","","","","0","0",""
"Evan Scribner  P","","","","","","","","","","","","","","","","","","","0","0",""
