"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Coco Crisp  LF","4","0","0","0","0","1","4",".194",".260",".209",".469","18","11","-0.090","0.87","0.000","-0.090","-1.3","2","0",""
"Jonny Gomes  LF","1","0","0","0","0","1","1",".190",".320",".476",".796","4","3","-0.003","0.11","0.000","-0.003","-0.2","0","0",""
"Cliff Pennington  SS","5","0","2","0","0","1","5",".223",".263",".287",".550","19","11","-0.001","0.44","0.039","-0.040","0.4","0","5",""
"Josh Reddick  RF","4","1","1","0","0","1","4",".275",".302",".471",".772","15","10","-0.050","0.87","0.038","-0.088","-0.8","2","0","GDP"
"Yoenis Cespedes  CF","4","1","1","0","0","1","4",".250",".327",".467",".794","13","10","-0.019","0.89","0.050","-0.068","-0.6","2","0","2B"
"Seth Smith  DH","4","1","2","2","0","0","4",".215",".358",".323",".681","10","7","0.210","0.94","0.235","-0.026","1.5","","","2B"
"Kila Ka'aihue  1B","3","1","1","1","1","0","4",".314",".375",".392",".767","19","12","0.056","0.71","0.092","-0.036","0.6","10","0","2B"
"Kurt Suzuki  C","3","0","1","0","0","1","4",".233",".247",".302",".550","18","12","0.005","0.62","0.035","-0.029","0.1","8","0","HBP"
"Brandon Inge  3B","3","0","1","1","1","1","4",".129",".182",".290",".472","22","12","0.049","0.97","0.104","-0.055","1.3","0","2","2B"
"Eric Sogard  2B","4","0","0","0","0","1","4",".140",".204",".280",".484","18","11","-0.090","0.79","0.000","-0.090","-1.7","3","2",""
"","","","","","","","","","","","","","","","","","","","","",""
"Brandon McCarthy  P","","","","","","","","","","","","","","","","","","","0","1",""
"Ryan Cook  P","","","","","","","","","","","","","","","","","","","0","0",""
"Brian Fuentes  P","","","","","","","","","","","","","","","","","","","0","0",""
