"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Coco Crisp  CF","6","0","3","1","0","1","6",".186",".245",".243",".488","16","13","0.017","0.49","0.050","-0.033","1.4","3","0",""
"Cliff Pennington  SS","5","0","1","1","1","1","6",".209",".262",".300",".562","29","17","-0.034","0.47","0.026","-0.060","-0.2","2","1",""
"Josh Reddick  RF","5","2","3","1","1","2","6",".274",".346",".531",".877","22","13","0.107","0.54","0.129","-0.022","1.5","1","0","HR,2B"
"Seth Smith  LF","2","1","1","0","3","1","5",".272",".386",".444",".830","30","13","0.010","0.59","0.033","-0.023","0.8","0","0","IW"
"Brandon Inge  3B","5","0","0","0","0","1","5",".227",".301",".462",".763","15","9","-0.153","0.85","0.000","-0.153","-3.6","0","4","GDP"
"Brandon Moss  1B","5","2","3","3","0","1","5",".308",".357",".962","1.319","22","12","0.131","0.49","0.147","-0.016","2.4","10","2","HR,2·2B"
"Kurt Suzuki  C","5","2","3","0","0","0","5",".229",".268",".286",".555","20","13","0.036","0.47","0.064","-0.029","0.9","7","4",""
"Adam Rosales  2B","3","1","0","1","2","0","5",".167",".394",".167",".561","17","8","0.114","0.55","0.143","-0.029","1.9","3","4","GDP,IW"
"Jarrod Parker  P","4","0","0","0","0","2","4",".000",".000",".000",".000","18","12","-0.067","0.58","0.000","-0.067","-1.4","1","0",""
"Grant Balfour  P","0","0","0","0","0","0","0",".000",".000",".000",".000","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Jonny Gomes  PH","1","0","0","0","0","0","1",".225",".360",".432",".793","2","1","-0.001","0.03","0.000","-0.001","-0.6","","",""
"Brian Fuentes  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
