"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Collin Cowgill  LF","4","0","2","0","0","0","4",".262",".348",".279",".627","20","13","0.058","1.24","0.115","-0.057","0.5","0","0",""
"Cliff Pennington  SS","3","0","0","0","0","0","4",".189",".246",".259",".506","19","12","0.000","1.66","0.067","-0.067","-0.3","3","1","SH"
"Josh Reddick  RF","3","0","2","0","1","0","4",".271",".341",".547",".888","17","12","-0.012","1.53","0.183","-0.194","-0.1","2","0","SB"
"Yoenis Cespedes  CF","4","0","0","0","0","0","4",".244",".311",".420",".731","11","7","-0.206","2.09","0.000","-0.206","-1.6","3","0",""
"Kila Ka'aihue  1B","3","0","0","0","1","1","4",".225",".290",".375",".665","17","9","-0.179","1.83","0.030","-0.209","-1.1","5","1","GDP"
"Brandon Inge  3B","4","0","1","0","0","1","4",".171",".242",".390",".632","11","7","-0.038","1.49","0.075","-0.114","-0.7","0","2",""
"Seth Smith  DH","4","0","0","0","0","0","4",".217",".343",".333",".677","16","11","-0.133","1.49","0.000","-0.133","-0.8","","",""
"Josh Donaldson  C","3","0","1","0","0","1","3",".148",".146",".239",".385","14","9","-0.010","0.69","0.026","-0.036","-0.0","5","1",""
"Coco Crisp  PH","1","0","0","0","0","0","1",".165",".222",".183",".406","2","2","-0.058","2.11","0.000","-0.058","-0.3","","",""
"Adam Rosales  2B","2","0","1","0","1","0","3",".308",".526",".308",".834","7","3","0.042","1.01","0.071","-0.030","0.2","6","3",""
"Jemile Weeks  PH","1","0","0","0","0","0","1",".228",".313",".337",".650","6","4","-0.038","1.36","0.000","-0.038","-0.4","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Tommy Milone  P","","","","","","","","","","","","","","","","","","","0","1",""
"Andrew Carignan  P","","","","","","","","","","","","","","","","","","","0","0",""
