"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Coco Crisp  CF","4","0","0","0","0","1","4",".254",".316",".396",".712","16","13","-0.068","0.64","0.000","-0.068","-0.9","5","0",""
"Stephen Drew  SS","3","0","2","0","1","1","4",".194",".299",".313",".612","16","8","0.042","0.50","0.057","-0.015","0.8","3","3","2B"
"Josh Reddick  RF","4","0","0","0","0","1","4",".247",".318",".479",".797","9","9","-0.072","0.71","0.000","-0.072","-1.5","1","0","GDP"
"Yoenis Cespedes  LF","4","0","0","0","0","1","4",".300",".363",".504",".867","14","9","-0.093","0.68","0.000","-0.093","-1.0","0","0","GDP"
"Chris Carter  1B","3","0","0","0","0","0","3",".257",".374",".544",".918","11","8","-0.050","0.67","0.000","-0.050","-0.5","5","1",""
"Seth Smith  DH","3","0","1","0","0","1","3",".240",".345",".422",".767","10","9","0.020","0.45","0.033","-0.013","0.1","","",""
"Josh Donaldson  3B","2","0","0","0","1","1","3",".222",".243",".341",".584","15","8","0.016","1.04","0.060","-0.043","0.0","0","0","SB"
"Derek Norris  C","3","0","0","0","0","1","3",".205",".276",".356",".632","9","6","-0.072","0.97","0.000","-0.072","-0.7","9","0",""
"Cliff Pennington  2B","3","0","1","0","0","1","3",".201",".266",".288",".554","13","9","-0.046","0.62","0.002","-0.049","-0.4","0","3",""
"","","","","","","","","","","","","","","","","","","","","",""
"Tyson Ross  P","","","","","","","","","","","","","","","","","","","1","1",""
"Jerry Blevins  P","","","","","","","","","","","","","","","","","","","0","0",""
"Pat Neshek  P","","","","","","","","","","","","","","","","","","","0","0",""
