"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Michael Saunders  LF","4","0","0","0","0","2","4",".265",".331",".443",".774","15","10","-0.064","0.64","0.000","-0.064","-0.9","3","1",""
"Franklin Gutierrez  CF","4","0","1","0","0","1","4",".188",".278",".250",".528","8","6","0.012","0.39","0.036","-0.025","-0.1","4","0","2B"
"Kyle Seager  3B","4","1","2","0","0","0","4",".260",".320",".446",".766","15","9","0.010","0.56","0.041","-0.031","0.0","1","1",""
"Jesus Montero  C","4","0","0","0","0","1","4",".266",".303",".418",".721","14","10","-0.079","0.77","0.000","-0.079","-1.0","6","0",""
"Casper Wells  RF","4","0","2","1","0","1","4",".286",".348",".460",".808","19","10","0.083","0.58","0.101","-0.018","1.1","5","0","2B"
"Justin Smoak  1B","4","0","1","0","0","0","4",".219",".279",".355",".634","6","5","-0.048","0.78","0.019","-0.067","-0.6","2","0",""
"Dustin Ackley  2B","4","0","2","0","0","2","4",".251",".322",".353",".674","18","13","-0.013","0.72","0.035","-0.048","-0.3","2","2",""
"Brendan Ryan  SS","3","0","1","0","0","0","3",".170",".277",".250",".527","10","6","-0.041","0.91","0.016","-0.057","-0.3","0","0",""
"Hector Noesi  P","2","0","0","0","0","2","2",".000",".000",".000",".000","7","6","-0.054","1.05","0.000","-0.054","-0.7","1","0",""
"Miguel Olivo  PH","1","0","0","0","0","0","1",".211",".222",".368",".591","6","3","-0.021","0.55","0.000","-0.021","-0.6","","","CS"
"Shawn Kelley  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Oliver Perez  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","1",""
