"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Dustin Ackley  2B","3","1","1","0","1","0","4",".235",".305",".337",".642","14","6","0.013","1.15","0.056","-0.043","0.3","3","3",""
"Trayvon Robinson  LF","4","0","1","0","0","3","4",".240",".305",".360",".665","18","11","-0.054","1.42","0.054","-0.108","-0.4","3","0",""
"Kyle Seager  3B","3","0","0","0","0","1","3",".250",".313",".408",".721","12","6","-0.139","1.09","0.000","-0.139","-1.5","2","1","GDP"
"John Jaso  C","2","0","0","0","1","0","3",".282",".401",".477",".878","20","11","-0.035","1.05","0.012","-0.047","-0.3","4","1",""
"Jesus Montero  DH","3","0","1","1","0","0","3",".261",".302",".405",".707","16","10","0.057","1.01","0.090","-0.033","0.7","","",""
"Eric Thames  RF","2","0","0","0","1","0","3",".252",".295",".408",".703","17","9","-0.014","0.99","0.038","-0.052","-0.2","0","0",""
"Justin Smoak  1B","3","1","2","0","0","0","3",".195",".264",".327",".591","7","5","0.126","1.21","0.147","-0.021","1.1","6","0",""
"Casper Wells  CF","3","1","1","2","0","0","3",".226",".291",".391",".682","17","9","0.150","1.33","0.224","-0.074","0.8","2","0","HR"
"Brendan Ryan  SS","3","0","0","0","0","1","3",".197",".288",".280",".568","12","8","-0.109","1.14","0.000","-0.109","-1.0","0","3",""
"","","","","","","","","","","","","","","","","","","","","",""
"Kevin Millwood  P","","","","","","","","","","","","","","","","","","","0","0",""
"Lucas Luetge  P","","","","","","","","","","","","","","","","","","","0","0",""
