"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Dustin Ackley  2B","5","1","2","0","0","1","5",".256",".317",".375",".692","25","17","0.116","0.65","0.147","-0.030","1.0","2","0","2B,SB"
"Michael Saunders  CF","4","0","0","0","0","1","4",".228",".305",".412",".716","20","11","-0.064","0.73","0.000","-0.064","-1.2","2","0",""
"Ichiro Suzuki  RF","4","1","1","0","0","1","4",".280",".317",".371",".689","12","6","-0.043","0.69","0.040","-0.083","-1.0","2","0","2B,GDP"
"Kyle Seager  3B","3","1","0","0","1","0","4",".286",".308",".486",".794","13","8","-0.032","0.75","0.013","-0.044","-0.6","0","2","SB"
"Jesus Montero  C","3","1","1","2","1","1","4",".261",".296",".423",".719","17","9","0.166","0.72","0.176","-0.010","1.6","13","0","HR"
"Justin Smoak  1B","4","1","2","2","0","0","4",".218",".258",".333",".591","16","10","0.136","0.60","0.152","-0.015","1.6","6","0","HR"
"Mike Carp  LF","3","1","1","1","0","0","3",".159",".229",".477",".706","11","5","0.023","0.61","0.062","-0.039","0.4","2","0","HR"
"Casper Wells  LF","1","0","0","0","0","0","1",".233",".327",".395",".722","5","2","-0.002","0.08","0.000","-0.002","-0.3","0","0",""
"Brendan Ryan  SS","4","0","1","0","0","0","4",".165",".288",".248",".536","10","7","-0.015","0.38","0.015","-0.029","-0.2","0","1",""
"Blake Beavan  P","2","0","0","0","0","1","3",".000",".000",".000",".000","5","5","-0.027","0.46","0.000","-0.027","-0.5","0","1","SH"
"Shawn Kelley  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Charlie Furbush  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Tom Wilhelmsen  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Alex Liddi  PH","1","0","1","0","0","0","1",".254",".303",".394",".697","6","4","0.003","0.03","0.003","0.000","0.3","","","3B"
"Brandon League  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","1",""
