"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Dustin Ackley  2B","6","1","3","3","0","0","6",".263",".309",".355",".664","17","12","0.163","0.57","0.172","-0.010","1.7","2","6","2B"
"Brendan Ryan  SS","4","0","0","1","1","1","6",".174",".328",".326",".654","35","20","-0.057","0.47","0.001","-0.058","-1.2","0","1","SF"
"Ichiro Suzuki  RF","5","1","3","0","0","0","5",".316",".337",".430",".768","10","7","0.039","0.40","0.056","-0.017","0.8","4","0","2B"
"Justin Smoak  1B","4","1","0","0","1","0","5",".190",".239",".302",".540","20","8","-0.061","0.58","0.002","-0.063","-1.0","7","0",""
"Jesus Montero  C","5","1","3","2","0","1","5",".281",".294",".391",".685","15","13","0.110","0.53","0.119","-0.009","1.8","5","0",""
"Alex Liddi  3B","5","1","2","2","0","1","5",".375",".423",".667","1.090","22","15","0.014","0.53","0.069","-0.055","1.3","1","2","HR"
"Miguel Olivo  DH","5","1","1","0","0","0","5",".164",".177",".197",".374","19","13","0.019","0.27","0.033","-0.013","-1.0","","",""
"Michael Saunders  CF","4","1","2","1","1","1","5",".250",".328",".423",".751","18","8","0.059","0.33","0.063","-0.004","1.8","4","0","SB"
"Casper Wells  LF","4","2","1","0","1","1","5",".278",".350",".444",".794","18","11","0.070","0.42","0.073","-0.002","0.2","4","0","2B"
"","","","","","","","","","","","","","","","","","","","","",""
"Felix Hernandez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Lucas Luetge  P","","","","","","","","","","","","","","","","","","","0","0",""
"Erasmo Ramirez  P","","","","","","","","","","","","","","","","","","","0","0",""
