"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Dustin Ackley  2B","4","1","1","0","1","1","5",".233",".310",".334",".644","15","8","-0.038","0.50","0.014","-0.052","-0.2","4","3",""
"Ichiro Suzuki  RF","5","1","2","0","0","0","5",".265",".292",".356",".647","16","11","-0.007","0.51","0.044","-0.051","0.5","2","0","2B"
"Casper Wells  LF","3","1","0","0","2","1","5",".273",".346",".462",".807","19","8","-0.007","0.40","0.018","-0.024","-0.1","1","0",""
"Jesus Montero  DH","4","1","3","4","0","0","5",".262",".300",".403",".703","18","10","0.185","0.54","0.194","-0.010","2.8","","","HR,2B,SF"
"Kyle Seager  3B","5","1","1","0","0","1","5",".243",".307",".419",".726","12","10","0.006","0.41","0.033","-0.027","-0.7","0","2",""
"Justin Smoak  1B","4","1","1","0","0","0","4",".198",".265",".335",".600","13","9","0.009","0.71","0.050","-0.041","-0.5","11","2",""
"John Jaso  C","3","0","1","0","0","1","4",".280",".375",".476",".851","15","12","0.007","0.61","0.022","-0.016","-0.0","3","1","SH"
"Michael Saunders  CF","4","0","2","1","0","0","4",".261",".321",".427",".748","9","5","0.056","0.60","0.074","-0.018","0.4","2","0",""
"Brendan Ryan  SS","3","0","0","1","0","2","4",".190",".287",".287",".574","13","10","-0.016","0.64","0.014","-0.029","-0.6","2","7","SF"
"","","","","","","","","","","","","","","","","","","","","",""
"Felix Hernandez  P","","","","","","","","","","","","","","","","","","","2","2",""
"Lucas Luetge  P","","","","","","","","","","","","","","","","","","","0","0",""
