"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Desmond Jennings  LF","5","0","0","0","0","2","5",".251",".316",".387",".704","21","17","-0.044","0.34","0.000","-0.044","-1.2","2","0",""
"Melvin Upton  CF","4","1","1","1","0","1","4",".243",".299",".406",".705","15","10","0.091","0.42","0.111","-0.020","0.5","1","0","HR"
"Matthew Joyce  RF","3","1","0","0","1","0","4",".266",".366",".478",".844","16","6","-0.022","0.30","0.005","-0.027","-0.2","3","0",""
"Evan Longoria  DH","4","2","2","2","0","1","4",".304",".388",".504",".892","20","15","0.030","0.41","0.053","-0.023","1.6","","","HR"
"Ben Zobrist  SS-2B","4","2","2","1","0","1","4",".259",".372",".452",".824","16","9","0.177","0.40","0.179","-0.001","1.6","1","7","HR,2B"
"Jeff Keppinger  3B","3","1","1","2","0","0","3",".320",".371",".444",".815","5","5","0.066","0.59","0.080","-0.015","0.9","1","0",""
"Elliot Johnson  SS","1","0","0","0","0","1","1",".244",".311",".338",".649","4","3","0.000","0.01","0.000","0.000","-0.1","0","1",""
"Carlos Pena  1B","3","0","1","0","1","2","4",".192",".322",".342",".664","18","10","0.014","0.21","0.024","-0.011","0.7","8","0",""
"Ryan Roberts  2B-3B","3","0","0","1","0","0","4",".240",".308",".345",".653","9","6","-0.011","0.40","0.011","-0.022","-0.7","2","2","SF"
"Jose Molina  C","4","0","1","0","0","1","4",".202",".257",".298",".555","13","8","-0.009","0.20","0.006","-0.015","-0.3","9","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"David Price  P","","","","","","","","","","","","","","","","","","","0","0",""
"Burke Badenhop  P","","","","","","","","","","","","","","","","","","","0","0",""
"Wade Davis  P","","","","","","","","","","","","","","","","","","","0","0",""
