"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Desmond Jennings  LF","4","1","1","0","0","0","4",".243",".309",".378",".687","12","7","0.013","0.78","0.041","-0.028","-0.1","1","0","SB"
"Melvin Upton  CF","4","2","2","3","0","0","4",".245",".300",".395",".695","13","9","0.189","0.94","0.251","-0.062","1.7","2","0","2·HR"
"Matthew Joyce  RF","4","1","1","1","0","1","4",".273",".374",".491",".865","18","10","0.023","0.68","0.079","-0.056","0.2","3","0","HR"
"Evan Longoria  DH","4","0","0","0","0","2","4",".317",".407",".515",".922","26","18","-0.050","0.49","0.000","-0.050","-0.8","","",""
"Ben Zobrist  SS-2B","4","0","3","0","0","1","4",".254",".372",".440",".812","15","12","0.074","0.52","0.083","-0.009","1.0","1","4","2B,SB"
"Carlos Pena  1B","3","0","0","0","1","0","4",".194",".323",".351",".674","20","12","-0.047","0.75","0.010","-0.057","-0.6","13","0",""
"Jeff Keppinger  3B","4","0","1","0","0","0","4",".321",".377",".429",".805","7","6","-0.058","0.81","0.027","-0.084","-1.1","0","0","GDP"
"Elliot Johnson  SS","0","0","0","0","0","0","0",".247",".314",".342",".656","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"Ryan Roberts  2B-3B","4","0","2","0","0","1","4",".237",".305",".344",".650","8","6","-0.062","0.70","0.022","-0.085","-0.9","1","7","GDP"
"Jose Molina  C","4","0","1","0","0","1","4",".198",".253",".299",".552","8","8","0.003","0.53","0.033","-0.030","0.1","6","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"David Price  P","","","","","","","","","","","","","","","","","","","0","1",""
"Joel Peralta  P","","","","","","","","","","","","","","","","","","","0","0",""
"Fernando Rodney  P","","","","","","","","","","","","","","","","","","","0","0",""
