"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ben Zobrist  RF","5","0","0","0","0","1","5",".208",".356",".434",".790","17","13","-0.151","1.20","0.000","-0.151","-1.5","0","0",""
"Sean Rodriguez  3B","3","1","2","1","0","0","4",".228",".298",".315",".613","15","10","0.112","1.02","0.142","-0.031","1.2","1","5","HBP"
"Melvin Upton  CF","4","0","0","0","0","3","4",".288",".333",".458",".791","16","11","-0.127","1.24","0.000","-0.127","-1.4","3","0",""
"Jeff Keppinger  DH","4","0","1","0","0","1","4",".309",".333",".441",".775","21","12","-0.044","0.81","0.019","-0.063","-0.4","","",""
"Brandon Guyer  LF","4","0","0","0","0","1","4",".000",".000",".000",".000","9","7","-0.026","0.95","0.030","-0.056","-0.2","1","0",""
"Carlos Pena  1B","4","0","1","1","0","2","4",".235",".380",".409",".789","12","10","-0.006","1.03","0.029","-0.035","-0.2","10","0",""
"Elliot Johnson  SS","3","2","2","0","1","1","4",".209",".306",".326",".632","17","11","0.111","0.91","0.120","-0.009","1.3","1","3","SB"
"Chris Gimenez  C","3","0","2","0","0","0","3",".244",".262",".268",".530","9","5","0.157","1.33","0.157","0.000","1.6","6","0",""
"Matthew Joyce  PH","1","0","0","0","0","0","1",".286",".375",".592",".967","3","2","-0.038","1.49","0.000","-0.038","-0.2","","",""
"Will Rhymes  2B","4","0","0","1","0","1","4",".241",".267",".276",".543","12","10","-0.239","1.66","0.000","-0.239","-1.9","1","2","GDP"
"","","","","","","","","","","","","","","","","","","","","",""
"David Price  P","","","","","","","","","","","","","","","","","","","1","1",""
"Burke Badenhop  P","","","","","","","","","","","","","","","","","","","0","0",""
