"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Sam Fuld  LF","3","0","0","0","0","0","3",".262",".295",".310",".605","15","8","-0.093","1.25","0.000","-0.093","-0.6","5","0",""
"Melvin Upton  CF","3","0","0","0","0","1","3",".243",".300",".400",".700","9","6","-0.064","0.88","0.000","-0.064","-0.4","2","0",""
"Matthew Joyce  RF","3","0","0","0","0","1","3",".269",".367",".483",".850","15","9","-0.042","0.56","0.000","-0.042","-0.3","1","0",""
"Evan Longoria  DH","3","0","0","0","0","2","3",".297",".385",".477",".862","11","8","-0.107","1.45","0.000","-0.107","-0.6","","",""
"Ben Zobrist  2B","3","0","0","0","0","1","3",".257",".371",".441",".812","16","10","-0.074","1.02","0.000","-0.074","-0.4","2","2",""
"Carlos Pena  1B","3","0","0","0","0","1","3",".191",".320",".342",".663","10","8","-0.050","0.66","0.000","-0.050","-0.3","9","1",""
"Jose Lobaton  C","2","0","0","0","0","1","2",".228",".331",".309",".640","7","5","-0.061","1.23","0.000","-0.061","-0.4","2","0",""
"Desmond Jennings  PH","1","0","0","0","0","1","1",".254",".320",".393",".713","6","5","-0.069","2.80","0.000","-0.069","-0.2","","",""
"Elliot Johnson  SS","2","0","0","0","0","2","2",".245",".312",".340",".651","8","7","-0.042","0.86","0.000","-0.042","-0.3","1","1",""
"Jeff Keppinger  PH","1","0","0","0","0","0","1",".319",".372",".445",".817","4","3","-0.049","2.02","0.000","-0.049","-0.1","","",""
"Sean Rodriguez  3B","3","0","0","0","0","2","3",".206",".271",".320",".591","12","8","-0.062","0.82","0.000","-0.062","-0.3","1","2",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jeremy Hellickson  P","","","","","","","","","","","","","","","","","","","1","2",""
"Kyle Farnsworth  P","","","","","","","","","","","","","","","","","","","0","0",""
