"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ian Kinsler  DH","4","0","0","0","0","1","4",".262",".329",".433",".762","17","12","-0.104","1.06","0.000","-0.104","-0.7","","",""
"Elvis Andrus  SS","4","0","2","0","0","0","4",".291",".351",".386",".738","19","10","0.048","0.91","0.085","-0.037","0.2","0","1",""
"Michael Young  3B","4","1","1","0","0","0","4",".276",".308",".366",".675","15","9","-0.172","1.49","0.030","-0.202","-0.9","0","2","2·GDP"
"Nelson Cruz  RF","4","1","2","0","0","0","4",".261",".324",".456",".779","9","7","0.096","0.95","0.139","-0.043","0.9","2","0","2B"
"David Murphy  LF","4","1","3","3","0","0","4",".312",".388",".493",".881","12","8","0.372","1.16","0.372","0.000","3.1","1","0","HR,2B"
"Geovany Soto  C","4","0","1","0","0","1","4",".205",".279",".350",".629","8","6","-0.136","1.57","0.044","-0.180","-1.1","11","1","GDP"
"Mitch Moreland  1B","4","0","0","0","0","1","4",".273",".320",".477",".797","14","9","-0.142","1.46","0.000","-0.142","-1.3","8","0",""
"Craig Gentry  CF","3","0","1","0","0","1","3",".304",".368",".383",".751","17","12","-0.107","1.53","0.044","-0.151","-0.8","1","0","CS"
"Jurickson Profar  2B","3","0","0","0","0","1","3",".176",".176",".471",".647","10","8","-0.065","0.87","0.000","-0.065","-0.5","1","2",""
"","","","","","","","","","","","","","","","","","","","","",""
"Martin Perez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Scott Feldman  P","","","","","","","","","","","","","","","","","","","0","1",""
"Alexi Ogando  P","","","","","","","","","","","","","","","","","","","0","0",""
