"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Brett Lawrie  3B","3","1","0","0","1","0","4",".287",".335",".419",".753","11","6","-0.055","0.67","0.008","-0.063","-0.6","1","1",""
"Yunel Escobar  PH-SS","1","0","0","0","0","0","1",".249",".302",".331",".633","1","1","-0.010","0.36","0.000","-0.010","-0.4","0","1",""
"Colby Rasmus  CF","4","0","1","1","1","3","5",".259",".320",".486",".806","27","13","0.028","0.40","0.054","-0.026","1.1","1","0","2B"
"Jose Bautista  RF","4","0","0","0","1","2","5",".232",".353",".528",".881","23","13","-0.028","0.62","0.019","-0.047","-0.7","4","0",""
"Edwin Encarnacion  1B","4","1","2","2","0","1","5",".283",".351",".574",".925","24","11","0.173","0.80","0.184","-0.011","2.1","6","1","HR,HBP"
"Kelly Johnson  2B","4","0","1","0","0","2","4",".252",".336",".388",".724","19","13","-0.080","1.35","0.033","-0.113","-0.9","2","1",""
"Jeff Mathis  C","3","0","1","0","0","1","4",".204",".271",".426",".697","9","7","-0.012","0.74","0.030","-0.041","-0.6","8","0","SH"
"Omar Vizquel  SS-3B","4","0","1","0","0","0","4",".228",".267",".228",".495","15","8","-0.057","0.72","0.007","-0.065","-0.7","1","1",""
"Rajai Davis  LF","4","0","2","0","0","1","4",".267",".328",".442",".770","10","8","0.004","0.67","0.044","-0.040","0.3","1","0",""
"Joel Carreno  P","1","0","0","0","0","0","1",".000",".000",".000",".000","3","2","-0.017","0.67","0.000","-0.017","-0.2","0","0",""
"Aaron Laffey  P","1","0","0","0","0","0","1",".000",".000",".000",".000","2","2","-0.036","1.61","0.000","-0.036","-0.5","0","0",""
"David Cooper  PH","1","1","1","0","0","0","1",".297",".338",".438",".776","4","2","0.004","0.10","0.004","0.000","0.1","","",""
"Luis Perez  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"J.P. Arencibia  PH","1","0","0","0","0","1","1",".224",".261",".400",".661","4","3","-0.016","0.71","0.000","-0.016","-0.5","","",""
"Jason Frasor  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
